step_reward,fidelity,avg_fidelity,log_infidelity,state,U_accumulated,control_pulse_params
0.00010968785930823853,0.00026067892544686023,0.33350711928363125,0.00011322617735043977,"[ 9.98897293e-01 -5.42101086e-20  5.42101086e-20  9.98897293e-01
 -4.25896864e-02  1.97564244e-02  1.97564244e-02  4.25896864e-02]","[[ 9.98897293e-01-0.04258969j -5.42101086e-20+0.01975642j]
 [ 5.42101086e-20+0.01975642j  9.98897293e-01+0.04258969j]]","{'omega': -0.63243806, 'delta': 1.3633711}"
0.0001686043546490611,0.00041402186782010895,0.33360934791188007,0.00017984464495899853,"[ 9.98297577e-01 -1.44970411e-05  1.44970411e-05  9.98297577e-01
 -5.30396873e-02  2.42639382e-02  2.42639382e-02  5.30396873e-02]","[[ 9.98297577e-01-0.05303969j -1.44970411e-05+0.02426394j]
 [ 1.44970411e-05+0.02426394j  9.98297577e-01+0.05303969j]]","{'omega': -0.1444439, 'delta': 0.33486503}"
0.0003841646028706436,0.000975602893551722,0.3339837352623678,0.0004239057686848481,"[ 0.99910287  0.00227679 -0.00227679  0.99910287  0.00192859  0.04224387
  0.04224387 -0.00192859]","[[ 0.99910287+0.00192859j  0.00227679+0.04224387j]
 [-0.00227679+0.04224387j  0.99910287-0.00192859j]]","{'omega': -0.57793915, 'delta': -1.7601275}"
0.001961671405218089,0.00514888775450614,0.3367659251696708,0.0022419101773921016,"[ 0.99674062  0.00317047 -0.00317047  0.99674062  0.02476589  0.07671206
  0.07671206 -0.02476589]","[[ 0.99674062+0.02476589j  0.00317047+0.07671206j]
 [-0.00317047+0.07671206j  0.99674062-0.02476589j]]","{'omega': -1.1071115, 'delta': -0.7291893}"
0.0009666140478417524,0.002634403671205435,0.3350896024474703,0.0011456166492939289,"[ 0.9979767   0.00236984 -0.00236984  0.9979767   0.00981229  0.06277426
  0.06277426 -0.00981229]","[[ 0.9979767 +0.00981229j  0.00236984+0.06277426j]
 [-0.00236984+0.06277426j  0.9979767 -0.00981229j]]","{'omega': 0.44850442, 'delta': 0.47851992}"
0.0021707874955555523,0.006133020917383859,0.3374220139449226,0.002671738456068372,"[ 0.99584367  0.00291668 -0.00291668  0.99584367  0.02255951  0.08819265
  0.08819265 -0.02255951]","[[ 0.99584367+0.02255951j  0.00291668+0.08819265j]
 [-0.00291668+0.08819265j  0.99584367-0.02255951j]]","{'omega': -0.8169334, 'delta': -0.4069815}"
0.0006186050639934635,0.0018215591661206235,0.3345477061107471,0.0007918144819116333,"[ 0.99827387  0.00174302 -0.00174302  0.99827387  0.00167747  0.05868078
  0.05868078 -0.00167747]","[[ 0.99827387+0.00167747j  0.00174302+0.05868078j]
 [-0.00174302+0.05868078j  0.99827387-0.00167747j]]","{'omega': 0.94862276, 'delta': 0.6679064}"
0.003101291766431744,0.009476133361082939,0.3396507555740553,0.004135055688575659,"[ 0.99330414  0.00300805 -0.00300805  0.99330414  0.02489213  0.1127751
  0.1127751  -0.02489213]","[[ 0.99330414+0.02489213j  0.00300805+0.1127751j ]
 [-0.00300805+0.1127751j   0.99330414-0.02489213j]]","{'omega': -1.7396019, 'delta': -0.74164337}"
0.0066549867711898775,0.02109423095203966,0.3473961539680264,0.009259112029481568,"[ 0.98499598  0.00293874 -0.00293874  0.98499598  0.03682028  0.16857802
  0.16857802 -0.03682028]","[[ 0.98499598+0.03682028j  0.00293874+0.16857802j]
 [-0.00293874+0.16857802j  0.98499598-0.03682028j]]","{'omega': -1.8059235, 'delta': -0.3803521}"
0.006966894161010186,0.023063500262954343,0.3487090001753029,0.010133664234196633,"[ 0.98711866  0.01003719 -0.01003719  0.98711866  0.07251114  0.14226084
  0.14226084 -0.07251114]","[[ 0.98711866+0.07251114j  0.01003719+0.14226084j]
 [-0.01003719+0.14226084j  0.98711866-0.07251114j]]","{'omega': 0.84625745, 'delta': -1.1636295}"
