step_reward,fidelity,avg_fidelity,log_infidelity,state,U_accumulated,control_pulse_params
0.0123067571511003,0.029774259695151593,0.35318283979676773,0.01312720762784032,"[ 9.84937151e-01  0.00000000e+00 -8.67361738e-19  9.84937151e-01
 -1.14121438e-01 -1.29904215e-01 -1.29904215e-01  1.14121438e-01]","[[ 9.84937151e-01-0.11412144j  0.00000000e+00-0.12990422j]
 [-8.67361738e-19-0.12990422j  9.84937151e-01+0.11412144j]]","{'omega': 2.0889666, 'delta': 1.8351666}"
0.019000468045517607,0.04877078692388301,0.3658471912825887,0.021714820623448695,"[ 0.97530654  0.00233457 -0.00233457  0.97530654 -0.15548121 -0.15683525
 -0.15683525  0.15548121]","[[ 0.97530654-0.15548121j  0.00233457-0.15683525j]
 [-0.00233457-0.15683525j  0.97530654+0.15548121j]]","{'omega': 0.4403462, 'delta': 0.6745106}"
0.0201838008857895,0.055594736452796945,0.3703964909685313,0.02484160109020246,"[ 0.97078807 -0.00737033  0.00737033  0.97078807 -0.13572979 -0.19772107
 -0.19772107  0.13572979]","[[ 0.97078807-0.13572979j -0.00737033-0.19772107j]
 [ 0.00737033-0.19772107j  0.97078807+0.13572979j]]","{'omega': 0.67300695, 'delta': -0.322976}"
0.08320571288499472,0.22543289420340026,0.4836219294689335,0.1109409505133263,"[ 0.8686662  -0.01917548  0.01917548  0.8686662  -0.2366912  -0.4347742
 -0.4347742   0.2366912 ]","[[ 0.8686662 -0.2366912j -0.01917548-0.4347742j]
 [ 0.01917548-0.4347742j  0.8686662 +0.2366912j]]","{'omega': 4.071203, 'delta': 1.8037734}"
0.15774101525749765,0.41039857667137114,0.6069323844475808,0.22944147673817838,"[ 0.75571597  0.01260049 -0.01260049  0.75571597 -0.35723954 -0.54873902
 -0.54873902  0.35723954]","[[ 0.75571597-0.35723954j  0.01260049-0.54873902j]
 [-0.01260049-0.54873902j  0.75571597+0.35723954j]]","{'omega': 2.2277117, 'delta': 2.3755903}"
0.23079622616050804,0.572706744223589,0.7151378294823928,0.3692739618568129,"[ 0.6336965   0.01050247 -0.01050247  0.6336965  -0.42195702 -0.6482829
 -0.6482829   0.42195702]","[[ 0.6336965 -0.42195702j  0.01050247-0.6482829j ]
 [-0.01050247-0.6482829j   0.6336965 +0.42195702j]]","{'omega': 2.3111572, 'delta': 1.4484878}"
0.3779333773762719,0.787128049158752,0.8580853661058346,0.6718815597800389,"[ 0.42538924  0.0189658  -0.0189658   0.42538924 -0.50173582 -0.75295781
 -0.75295781  0.50173582]","[[ 0.42538924-0.50173582j  0.0189658 -0.75295781j]
 [-0.0189658 -0.75295781j  0.42538924+0.50173582j]]","{'omega': 3.2108488, 'delta': 2.3088713}"
0.5124058640576157,0.9055529773239385,0.9370353182159589,1.0248117281152314,"[ 0.24739846  0.03539907 -0.03539907  0.24739846 -0.54641943 -0.79935393
 -0.79935393  0.54641943]","[[ 0.24739846-0.54641943j  0.03539907-0.79935393j]
 [-0.03539907-0.79935393j  0.24739846+0.54641943j]]","{'omega': 2.3559241, 'delta': 1.9285116}"
0.6346678031891377,0.9645732970701484,0.9763821980467656,1.4506692644323147,"[ 0.05167185  0.03269074 -0.03269074  0.05167185 -0.56859558 -0.82034164
 -0.82034164  0.56859558]","[[ 0.05167185-0.56859558j  0.03269074-0.82034164j]
 [-0.03269074-0.82034164j  0.05167185+0.56859558j]]","{'omega': 2.6398842, 'delta': 1.763991}"
0.47849177126228126,0.9470309793489269,0.9646873195659512,1.2759780566994168,"[-0.1534936   0.02138773 -0.02138773 -0.1534936  -0.56780982 -0.80843941
 -0.80843941  0.56780982]","[[-0.1534936 -0.56780982j  0.02138773-0.80843941j]
 [-0.02138773-0.80843941j -0.1534936 +0.56780982j]]","{'omega': 2.8053055, 'delta': 1.7359917}"
0.3135523329886883,0.9007723892258614,0.9338482594839076,1.0033674655638025,"[-0.27068272 -0.05557246  0.05557246 -0.27068272 -0.56417321 -0.77804316
 -0.77804316  0.56417321]","[[-0.27068272-0.56417321j -0.05557246-0.77804316j]
 [ 0.05557246-0.77804316j -0.27068272+0.56417321j]]","{'omega': 2.2963173, 'delta': 0.08881354}"
