step_reward,fidelity,avg_fidelity,log_infidelity,state,U_accumulated,control_pulse_params
0.8519272842385953,0.8679947540957587,0.9119965027305058,0.8794088095366145,"[ 0.99933997  0.          0.          0.99933997 -0.02193096  0.02895957
  0.02895957  0.02193096]","[[0.99933997-0.02193096j 0.        +0.02895957j]
 [0.        +0.02895957j 0.99933997+0.02193096j]]","{'omega': -0.9269102, 'delta': 0.70194525}"
0.8164192161583318,0.8653665929948174,0.9102443953298783,0.8708471639022206,"[ 0.99482065  0.00129194 -0.00129194  0.99482065 -0.02915304  0.09736684
  0.09736684  0.02915304]","[[ 0.99482065-0.02915304j  0.00129194+0.09736684j]
 [-0.00129194+0.09736684j  0.99482065+0.02915304j]]","{'omega': -2.1944215, 'delta': 0.2331129}"
0.8791731719542379,0.8928781956647232,0.9285854637764821,0.9701221207770901,"[ 0.99199273 -0.00299446  0.00299446  0.99199273 -0.07431872  0.10206949
  0.10206949  0.07431872]","[[ 0.99199273-0.07431872j -0.00299446+0.10206949j]
 [ 0.00299446+0.10206949j  0.99199273+0.07431872j]]","{'omega': -0.15270366, 'delta': 1.4545102}"
0.7871736559970599,0.873999298051271,0.9159995320341806,0.8996270354252114,"[ 0.987406    0.00192557 -0.00192557  0.987406   -0.05914838  0.14672137
  0.14672137  0.05914838]","[[ 0.987406  -0.05914838j  0.00192557+0.14672137j]
 [-0.00192557+0.14672137j  0.987406  +0.05914838j]]","{'omega': -1.4431931, 'delta': -0.4911897}"
0.7306582165503936,0.8638446514378364,0.9092297676252242,0.8659652936893554,"[ 0.98801545  0.00434005 -0.00434005  0.98801545 -0.0434437   0.14805163
  0.14805163  0.0434437 ]","[[ 0.98801545-0.0434437j   0.00434005+0.14805163j]
 [-0.00434005+0.14805163j  0.98801545+0.0434437j ]]","{'omega': -0.044710323, 'delta': -0.50864995}"
0.6263810281736208,0.8305391018772981,0.8870260679181987,0.7709304962136873,"[ 0.97625401  0.01006194 -0.01006194  0.97625401 -0.02455838  0.2149971
  0.2149971   0.02455838]","[[ 0.97625401-0.02455838j  0.01006194+0.2149971j ]
 [-0.01006194+0.2149971j   0.97625401+0.02455838j]]","{'omega': -2.1847045, 'delta': -0.5990482}"
0.5566282422564963,0.8061276610135262,0.8707517740090175,0.7124841500883153,"[ 9.71525461e-01  1.58027120e-02 -1.58027120e-02  9.71525461e-01
 -7.15042112e-04  2.36406519e-01  2.36406519e-01  7.15042112e-04]","[[ 0.97152546-0.00071504j  0.01580271+0.23640652j]
 [-0.01580271+0.23640652j  0.97152546+0.00071504j]]","{'omega': -0.7136822, 'delta': -0.7738949}"
0.4976651382751187,0.7830066211805915,0.8553377474537277,0.6635535177001582,"[ 0.96228975  0.0184993  -0.0184993   0.96228975  0.01087894  0.27117865
  0.27117865 -0.01087894]","[[ 0.96228975+0.01087894j  0.0184993 +0.27117865j]
 [-0.0184993 +0.27117865j  0.96228975-0.01087894j]]","{'omega': -1.1570942, 'delta': -0.36313474}"
0.5006831370539125,0.7989068048948367,0.8659378699298911,0.6966026254663131,"[ 0.97350848  0.02026096 -0.02026096  0.97350848  0.01460396  0.22728276
  0.22728276 -0.01460396]","[[ 0.97350848+0.01460396j  0.02026096+0.22728276j]
 [-0.02026096+0.22728276j  0.97350848-0.01460396j]]","{'omega': 1.447959, 'delta': -0.15212512}"
0.4385234675306959,0.7697775434930398,0.8465183623286933,0.6378523164082849,"[ 0.96737459  0.02639397 -0.02639397  0.96737459  0.0427714   0.24831507
  0.24831507 -0.0427714 ]","[[ 0.96737459+0.0427714j   0.02639397+0.24831507j]
 [-0.02639397+0.24831507j  0.96737459-0.0427714j ]]","{'omega': -0.7153692, 'delta': -0.91151476}"
0.4569755396955354,0.7987868683226576,0.865857912215105,0.6963436795360539,"[ 0.96371428  0.01223493 -0.01223493  0.96371428 -0.00886602  0.26650796
  0.26650796  0.00886602]","[[ 0.96371428-0.00886602j  0.01223493+0.26650796j]
 [-0.01223493+0.26650796j  0.96371428+0.00886602j]]","{'omega': -0.5683341, 'delta': 1.7222741}"
0.45132250697997767,0.8103800669804757,0.8735867113203172,0.7221160111679643,"[ 0.96658444  0.00941621 -0.00941621  0.96658444 -0.01882376  0.25548291
  0.25548291  0.01882376]","[[ 0.96658444-0.01882376j  0.00941621+0.25548291j]
 [-0.00941621+0.25548291j  0.96658444+0.01882376j]]","{'omega': 0.36919045, 'delta': 0.32600632}"
0.45126988551620234,0.8262333179702379,0.8841555453134919,0.7600334913957092,"[ 0.95385617 -0.0041834   0.0041834   0.95385617 -0.07245044  0.29136205
  0.29136205  0.07245044]","[[ 0.95385617-0.07245044j -0.0041834 +0.29136205j]
 [ 0.0041834 +0.29136205j  0.95385617+0.07245044j]]","{'omega': -1.1903708, 'delta': 1.7897173}"
0.4435888792965073,0.8372962555314384,0.891530837020959,0.7886024520826797,"[ 0.94214502 -0.01589912  0.01589912  0.94214502 -0.11657268  0.31388021
  0.31388021  0.11657268]","[[ 0.94214502-0.11657268j -0.01589912+0.31388021j]
 [ 0.01589912+0.31388021j  0.94214502+0.11657268j]]","{'omega': -0.77561796, 'delta': 1.4808035}"
0.4043947165935089,0.8267048470028404,0.8844698980018936,0.7612135841760167,"[ 0.93038889 -0.01656935  0.01656935  0.93038889 -0.12978313  0.34242999
  0.34242999  0.12978313]","[[ 0.93038889-0.12978313j -0.01656935+0.34242999j]
 [ 0.01656935+0.34242999j  0.93038889+0.12978313j]]","{'omega': -0.9832235, 'delta': 0.4344194}"
0.36345092102000065,0.8124581663300434,0.8749721108866956,0.7269018420400013,"[ 0.89967318 -0.02839105  0.02839105  0.89967318 -0.18337605  0.39516495
  0.39516495  0.18337605]","[[ 0.89967318-0.18337605j -0.02839105+0.39516495j]
 [ 0.02839105+0.39516495j  0.89967318+0.18337605j]]","{'omega': -1.8880641, 'delta': 1.8267863}"
0.28899952589124994,0.7581936630541048,0.8387957753694032,0.6165323219013332,"[ 0.87929903 -0.00279111  0.00279111  0.87929903 -0.15254591  0.45117089
  0.45117089  0.15254591]","[[ 0.87929903-0.15254591j -0.00279111+0.45117089j]
 [ 0.00279111+0.45117089j  0.87929903+0.15254591j]]","{'omega': -1.9939482, 'delta': -1.1436131}"
0.2593996922865035,0.7446790700214082,0.8297860466809389,0.5929135823691509,"[ 0.8594496  -0.01215925  0.01215925  0.8594496  -0.18009665  0.47829253
  0.47829253  0.18009665]","[[ 0.8594496 -0.18009665j -0.01215925+0.47829253j]
 [ 0.01215925+0.47829253j  0.8594496 +0.18009665j]]","{'omega': -1.0067744, 'delta': 1.0052662}"
0.2468370908363475,0.7531682586035886,0.8354455057357257,0.6075989928279323,"[ 0.85524427 -0.02534009  0.02534009  0.85524427 -0.20306599  0.47610851
  0.47610851  0.20306599]","[[ 0.85524427-0.20306599j -0.02534009+0.47610851j]
 [ 0.02534009+0.47610851j  0.85524427+0.20306599j]]","{'omega': 0.062734365, 'delta': 0.85863817}"
0.19074818353291334,0.6900167857189767,0.7933445238126512,0.5086618227544356,"[ 0.80963044 -0.0147209   0.0147209   0.80963044 -0.21603104  0.54553867
  0.54553867  0.21603104]","[[ 0.80963044-0.21603104j -0.0147209 +0.54553867j]
 [ 0.0147209 +0.54553867j  0.80963044+0.21603104j]]","{'omega': -2.677824, 'delta': 0.43365997}"
0.1514489235702928,0.6374054156588532,0.7582702771059022,0.44057868674994266,"[ 0.74140836 -0.05313531  0.05313531  0.74140836 -0.29634085  0.59972693
  0.59972693  0.29634085]","[[ 0.74140836-0.29634085j -0.05313531+0.59972693j]
 [ 0.05313531+0.59972693j  0.74140836+0.29634085j]]","{'omega': -2.3733015, 'delta': 3.2056766}"
0.11519293776230231,0.5720602790371615,0.714706852691441,0.3686174008393674,"[ 0.67528608 -0.06956375  0.06956375  0.67528608 -0.34614427  0.64755983
  0.64755983  0.34614427]","[[ 0.67528608-0.34614427j -0.06956375+0.64755983j]
 [ 0.06956375+0.64755983j  0.67528608+0.34614427j]]","{'omega': -2.3363671, 'delta': 2.0457814}"
