step_reward,fidelity,avg_fidelity,log_infidelity,state,U_accumulated,control_pulse_params
0.7177525791619063,0.8184090871438156,0.8789393914292104,0.7409058881671291,"[ 9.98675636e-01  0.00000000e+00  1.08420217e-19  9.98675636e-01
  4.70266688e-02 -2.08678350e-02 -2.08678350e-02 -4.70266688e-02]","[[9.98675636e-01+0.04702667j 0.00000000e+00-0.02086784j]
 [1.08420217e-19-0.02086784j 9.98675636e-01-0.04702667j]]","{'omega': 0.66806567, 'delta': -1.5055181}"
0.7414882613878315,0.838162489997002,0.8921083266646681,0.7909208121470203,"[ 0.99792607  0.00257059 -0.00257059  0.99792607  0.01685812 -0.0620706
 -0.0620706  -0.01685812]","[[ 0.99792607+0.01685812j  0.00257059-0.0620706j ]
 [-0.00257059-0.0620706j   0.99792607-0.01685812j]]","{'omega': 1.3216872, 'delta': 0.9651243}"
0.724602357320917,0.8413504742777798,0.8942336495185198,0.7995612218713567,"[ 0.99952015  0.00112347 -0.00112347  0.99952015  0.0161612   0.02640111
  0.02640111 -0.0161612 ]","[[ 0.99952015+0.0161612j   0.00112347+0.02640111j]
 [-0.00112347+0.02640111j  0.99952015-0.0161612j ]]","{'omega': -2.8328116, 'delta': 0.027554274}"
0.7653090688446303,0.8665369442475396,0.9110246294983598,0.8746389358224347,"[ 9.99666379e-01  8.99997313e-04 -8.99997313e-04  9.99666379e-01
 -1.90976512e-02 -1.73666507e-02 -1.73666507e-02  1.90976512e-02]","[[ 9.99666379e-01-0.01909765j  8.99997313e-04-0.01736665j]
 [-8.99997313e-04-0.01736665j  9.99666379e-01+0.01909765j]]","{'omega': 1.40191, 'delta': 1.1270262}"
0.8055935271718201,0.8890256815925114,0.9260171210616743,0.9547775136851201,"[ 0.99806245  0.0012637  -0.0012637   0.99806245 -0.05433242 -0.03029432
 -0.03029432  0.05433242]","[[ 0.99806245-0.05433242j  0.0012637 -0.03029432j]
 [-0.0012637 -0.03029432j  0.99806245+0.05433242j]]","{'omega': 0.41532895, 'delta': 1.128212}"
0.836358048247555,0.9065377464838493,0.9376918309892329,1.0293637516892984,"[ 0.99602134  0.0020885  -0.0020885   0.99602134 -0.08340844 -0.03130751
 -0.03130751  0.08340844]","[[ 0.99602134-0.08340844j  0.0020885 -0.03130751j]
 [-0.0020885 -0.03130751j  0.99602134+0.08340844j]]","{'omega': 0.03408453, 'delta': 0.93306947}"
0.7443582435080953,0.8885137138756323,0.9256758092504215,0.9527785516903621,"[ 0.99814558  0.00616064 -0.00616064  0.99814558 -0.05342217  0.02852211
  0.02852211  0.05342217]","[[ 0.99814558-0.05342217j  0.00616064+0.02852211j]
 [-0.00616064+0.02852211j  0.99814558+0.05342217j]]","{'omega': -1.9233742, 'delta': -0.9540502}"
0.6676343914144698,0.8712281866427313,0.9141521244284876,0.8901791885526263,"[ 0.99274646  0.01090963 -0.01090963  0.99274646 -0.04237945  0.11197957
  0.11197957  0.04237945]","[[ 0.99274646-0.04237945j  0.01090963+0.11197957j]
 [-0.01090963+0.11197957j  0.99274646+0.04237945j]]","{'omega': -2.6841037, 'delta': -0.33175826}"
0.7940995017410472,0.9214464329756774,0.9476309553171184,1.1048340893788482,"[ 9.92348049e-01  3.56106787e-04 -3.56106787e-04  9.92348049e-01
 -1.12651761e-01  5.05450723e-02  5.05450723e-02  1.12651761e-01]","[[ 9.92348049e-01-0.11265176j  3.56106787e-04+0.05054507j]
 [-3.56106787e-04+0.05054507j  9.92348049e-01+0.11265176j]]","{'omega': 1.9919915, 'delta': 2.2526267}"
0.6701778926204777,0.8940268624851583,0.9293512416567721,0.9748042074479676,"[ 9.97798066e-01 -8.76722370e-05  8.76722370e-05  9.97798066e-01
 -6.18911733e-02  2.38431230e-02  2.38431230e-02  6.18911733e-02]","[[ 9.97798066e-01-0.06189117j -8.76722370e-05+0.02384312j]
 [ 8.76722370e-05+0.02384312j  9.97798066e-01+0.06189117j]]","{'omega': 0.85823536, 'delta': -1.6320455}"
