step_reward,fidelity,avg_fidelity,log_infidelity,state,U_accumulated,control_pulse_params
0.9362961565837474,0.8919808534610324,0.9279872356406882,0.9664992584090296,"[ 9.96289681e-01  0.00000000e+00 -2.16840434e-19  9.96289681e-01
 -6.27038768e-02  5.89499321e-02  5.89499321e-02  6.27038768e-02]","[[ 9.96289681e-01-0.06270388j  0.00000000e+00+0.05894993j]
 [-2.16840434e-19+0.05894993j  9.96289681e-01+0.06270388j]]","{'omega': -1.8887343, 'delta': 2.0090094}"
1.0111048725027618,0.9165381252045839,0.9443587501363893,1.0785118640029459,"[ 9.84655439e-01  3.25470763e-04 -3.25470763e-04  9.84655439e-01
 -1.24533665e-01  1.22249447e-01  1.22249447e-01  1.24533665e-01]","[[ 9.84655439e-01-0.12453366j  3.25470763e-04+0.12224945j]
 [-3.25470763e-04+0.12224945j  9.84655439e-01+0.12453366j]]","{'omega': -2.0433822, 'delta': 1.9965938}"
1.204754847560071,0.9531601667165178,0.9687734444776787,1.3293846593766299,"[ 0.98168349 -0.01497297  0.01497297  0.98168349 -0.18119921  0.05692259
  0.05692259  0.18119921]","[[ 0.98168349-0.18119921j -0.01497297+0.05692259j]
 [ 0.01497297+0.05692259j  0.98168349+0.18119921j]]","{'omega': 2.111029, 'delta': 1.8588763}"
1.4258027512274412,0.9765301052807361,0.9843534035204907,1.629488858545647,"[ 0.97034717 -0.03029297  0.03029297  0.97034717 -0.23965367 -0.00865025
 -0.00865025  0.23965367]","[[ 0.97034717-0.23965367j -0.03029297-0.00865025j]
 [ 0.03029297-0.00865025j  0.97034717+0.23965367j]]","{'omega': 2.1029038, 'delta': 1.9639827}"
1.6444625139796258,0.9887537588730272,0.9925025059153514,1.9489926091610381,"[ 0.95522841 -0.03469166  0.03469166  0.95522841 -0.29226508 -0.03027043
 -0.03027043  0.29226508]","[[ 0.95522841-0.29226508j -0.03469166-0.03027043j]
 [ 0.03469166-0.03027043j  0.95522841+0.29226508j]]","{'omega': 0.65863085, 'delta': 1.7703556}"
2.205956335895292,0.9980725779753469,0.9987150519835645,2.7150231826403597,"[ 0.93514522 -0.01466287  0.01466287  0.93514522 -0.35296615  0.02652017
  0.02652017  0.35296615]","[[ 0.93514522-0.35296615j -0.01466287+0.02652017j]
 [ 0.01466287+0.02652017j  0.93514522+0.35296615j]]","{'omega': -1.9737256, 'delta': 2.0022266}"
2.171279492366663,0.9983374977192647,0.9988916651461764,2.779237750229329,"[ 0.92940103 -0.03214071  0.03214071  0.92940103 -0.36718029 -0.01895611
 -0.01895611  0.36718029]","[[ 0.92940103-0.36718029j -0.03214071-0.01895611j]
 [ 0.03214071-0.01895611j  0.92940103+0.36718029j]]","{'omega': 1.5474011, 'delta': 0.52663285}"
2.072152564585609,0.9982736457674748,0.9988490971783165,2.762870086114145,"[ 0.9196623  -0.00813129  0.00813129  0.9196623  -0.39060817  0.03975419
  0.03975419  0.39060817]","[[ 0.9196623 -0.39060817j -0.00813129+0.03975419j]
 [ 0.00813129+0.03975419j  0.9196623 +0.39060817j]]","{'omega': -2.0479798, 'delta': 0.7659687}"
2.1783445640211494,0.9990683350934784,0.999378890062319,3.030740262985947,"[ 0.92400356 -0.02884316  0.02884316  0.92400356 -0.38116645 -0.00988116
 -0.00988116  0.38116645]","[[ 0.92400356-0.38116645j -0.02884316-0.00988116j]
 [ 0.02884316-0.00988116j  0.92400356+0.38116645j]]","{'omega': 1.7284595, 'delta': -0.29300866}"
1.976956725966802,0.9986682381175225,0.999112158745015,2.8755734195880756,"[ 0.92246797 -0.01026419  0.01026419  0.92246797 -0.38435063  0.03495826
  0.03495826  0.38435063]","[[ 0.92246797-0.38435063j -0.01026419+0.03495826j]
 [ 0.01026419+0.03495826j  0.92246797+0.38435063j]]","{'omega': -1.5554984, 'delta': 0.077399604}"
