episode,total_reward,fidelity,log_infidelity,avg_fidelity,pulse_params,time_step
0,0.0529440748307545,0.05254670871849819,0.023442191216056934,0.24203736697479855,"[{'omega1': 0.0, 'delta1': -2.0, 'omega2': 0.0, 'delta2': 0.0, 'coupling_strength_zx': -1.0}, {'omega1': 0.0, 'delta1': 0.0, 'omega2': -2.0, 'delta2': 2.0, 'coupling_strength_zx': -1.0}, {'omega1': -2.0, 'delta1': 0.0, 'omega2': -2.0, 'delta2': 0.0, 'coupling_strength_zx': 1.0}, {'omega1': -2.0, 'delta1': 0.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -1.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': 2.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': -2.0, 'omega2': -2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 0.0, 'omega2': -2.0, 'delta2': 2.0, 'coupling_strength_zx': 1.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -1.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': 2.0, 'coupling_strength_zx': -2.0}]",9
1,0.06322630097636552,0.08442241504678219,0.03830484820619972,0.2675379320374257,"[{'omega1': -2.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': 2.0}, {'omega1': -2.0, 'delta1': 0.0, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': 2.0}, {'omega1': -2.0, 'delta1': 0.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': 2.0}, {'omega1': -2.0, 'delta1': 0.0, 'omega2': -2.0, 'delta2': -2.0, 'coupling_strength_zx': -1.0}, {'omega1': 0.0, 'delta1': 0.0, 'omega2': -2.0, 'delta2': 2.0, 'coupling_strength_zx': -2.0}]",5
2,0.047677589022299745,0.0004419814053565651,0.00019199251713760042,0.20035358512428525,"[{'omega1': 0.0, 'delta1': -2.0, 'omega2': 0.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': -2.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': 0.0, 'delta2': -2.0, 'coupling_strength_zx': 1.0}, {'omega1': -2.0, 'delta1': 0.0, 'omega2': 0.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': 2.0}]",5
3,0.08599342889935244,0.0664692061145438,0.029871351636752478,0.253175364891635,"[{'omega1': -2.0, 'delta1': 2.0, 'omega2': 0.0, 'delta2': 0.0, 'coupling_strength_zx': 2.0}, {'omega1': 0.0, 'delta1': 0.0, 'omega2': -2.0, 'delta2': 0.0, 'coupling_strength_zx': 2.0}, {'omega1': -2.0, 'delta1': 0.0, 'omega2': 0.0, 'delta2': -2.0, 'coupling_strength_zx': 2.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': -2.0, 'delta2': 0.0, 'coupling_strength_zx': 1.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': 0.0, 'delta2': -2.0, 'coupling_strength_zx': 1.0}]",5
4,0.15976562243476192,0.11028023919399964,0.05074676358066231,0.2882241913551997,"[{'omega1': -2.0, 'delta1': 2.0, 'omega2': 0.0, 'delta2': 2.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': -2.0, 'omega2': 0.0, 'delta2': 0.0, 'coupling_strength_zx': 2.0}, {'omega1': -2.0, 'delta1': 0.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': 2.0}, {'omega1': 0.0, 'delta1': 0.0, 'omega2': -2.0, 'delta2': 2.0, 'coupling_strength_zx': 2.0}, {'omega1': -2.0, 'delta1': 0.0, 'omega2': -2.0, 'delta2': -2.0, 'coupling_strength_zx': -1.0}]",5
5,0.15554230487362428,0.018455746218079605,0.008090115075663,0.21476459697446368,"[{'omega1': -2.0, 'delta1': 0.0, 'omega2': 0.0, 'delta2': 0.0, 'coupling_strength_zx': -1.0}, {'omega1': -2.0, 'delta1': 0.0, 'omega2': -2.0, 'delta2': 0.0, 'coupling_strength_zx': 2.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -1.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': 1.0}, {'omega1': 0.0, 'delta1': 0.0, 'omega2': 0.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",5
6,0.15430121955534212,0.03810313263119101,0.016871489639616852,0.23048250610495283,"[{'omega1': -2.0, 'delta1': 0.0, 'omega2': 0.0, 'delta2': 2.0, 'coupling_strength_zx': 2.0}, {'omega1': 0.0, 'delta1': 0.0, 'omega2': 0.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 0.0, 'omega2': -2.0, 'delta2': 2.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 0.0, 'omega2': -2.0, 'delta2': 2.0, 'coupling_strength_zx': -1.0}]",5
7,0.12135341999595181,0.26251930727882833,0.13224934505070132,0.41001544582306265,"[{'omega1': -2.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': 2.0}, {'omega1': -2.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 2.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -1.0}, {'omega1': -2.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",5
8,0.06077193919773085,0.10626342778011973,0.04879047011910687,0.2850107422240958,"[{'omega1': -2.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': 2.0, 'coupling_strength_zx': 2.0}, {'omega1': -2.0, 'delta1': -2.0, 'omega2': 0.0, 'delta2': 0.0, 'coupling_strength_zx': -1.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': 2.0, 'coupling_strength_zx': -1.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': -2.0, 'delta2': 0.0, 'coupling_strength_zx': 2.0}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': -2.0, 'delta2': 0.0, 'coupling_strength_zx': -1.0}]",5
9,0.13918722579701553,0.05075615552645364,0.022622210432399873,0.2406049244211629,"[{'omega1': -2.0, 'delta1': 2.0, 'omega2': 0.0, 'delta2': 2.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': -2.0, 'omega2': -2.0, 'delta2': -2.0, 'coupling_strength_zx': -1.0}, {'omega1': -2.0, 'delta1': -2.0, 'omega2': 0.0, 'delta2': 2.0, 'coupling_strength_zx': -1.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': 0.0, 'delta2': -2.0, 'coupling_strength_zx': -1.0}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': 0.0, 'delta2': 2.0, 'coupling_strength_zx': -1.0}]",5
10,0.11968176047377167,0.0466112963693322,0.020729998181927126,0.23728903709546575,"[{'omega1': 0.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': 2.0, 'coupling_strength_zx': 1.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': -2.0, 'delta2': 0.0, 'coupling_strength_zx': -1.0}, {'omega1': 0.0, 'delta1': 0.0, 'omega2': -2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': -2.0, 'omega2': 0.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': 0.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': 1.0}]",5
11,0.18009452332512083,0.10022641075300388,0.045866758683931655,0.2801811286024031,"[{'omega1': -2.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 2.0, 'coupling_strength_zx': 1.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': 2.0, 'coupling_strength_zx': 2.0}, {'omega1': -2.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': 1.0}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': -2.0, 'delta2': 2.0, 'coupling_strength_zx': -2.0}]",5
12,0.13276970781691727,0.008674046243761375,0.003783523474083325,0.2069392369950091,"[{'omega1': -2.0, 'delta1': 0.0, 'omega2': 0.0, 'delta2': 2.0, 'coupling_strength_zx': -1.0}, {'omega1': 0.0, 'delta1': 0.0, 'omega2': 0.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': 2.0, 'coupling_strength_zx': 1.0}, {'omega1': -2.0, 'delta1': -2.0, 'omega2': 0.0, 'delta2': 0.0, 'coupling_strength_zx': 1.0}, {'omega1': 0.0, 'delta1': 0.0, 'omega2': -2.0, 'delta2': 0.0, 'coupling_strength_zx': -1.0}]",5
13,0.051102613792458916,0.001313254889656665,0.0005707141805813224,0.20105060391172533,"[{'omega1': 0.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': -2.0, 'omega2': -2.0, 'delta2': 2.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': 0.0, 'omega2': 0.0, 'delta2': 2.0, 'coupling_strength_zx': 2.0}, {'omega1': -2.0, 'delta1': 0.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 2.0, 'coupling_strength_zx': 1.0}]",5
14,0.43018150754604056,0.0011600485880280034,0.0005040951445139423,0.20092803887042238,"[{'omega1': -2.0, 'delta1': -2.0, 'omega2': 0.0, 'delta2': 0.0, 'coupling_strength_zx': 2.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': -2.0, 'delta2': -2.0, 'coupling_strength_zx': -1.0}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': -2.0, 'delta2': 0.0, 'coupling_strength_zx': 2.0}, {'omega1': -2.0, 'delta1': 0.0, 'omega2': 0.0, 'delta2': 2.0, 'coupling_strength_zx': -1.0}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': 0.0, 'delta2': 0.0, 'coupling_strength_zx': -1.0}]",5
