episode,total_reward,fidelity,log_infidelity,avg_fidelity,control_pulse_params,time_step
0,1.807161911295566,0.08409460284546184,0.038149381807608976,0.26727568227636944,"[{'omega1': 1.9844066, 'delta1': -1.1595225, 'omega2': 0.78438884, 'delta2': 1.512696, 'coupling_strength_zx': -1.4462601}, {'omega1': 1.9999934, 'delta1': 1.9517802, 'omega2': -1.5528667, 'delta2': -0.9811691, 'coupling_strength_zx': 1.9108462}, {'omega1': 1.9474033, 'delta1': 1.1799059, 'omega2': -1.9992012, 'delta2': 1.807934, 'coupling_strength_zx': -1.8666791}, {'omega1': 1.8744407, 'delta1': 0.013643232, 'omega2': -0.0935044, 'delta2': 0.2706819, 'coupling_strength_zx': -1.4906209}, {'omega1': 1.8789237, 'delta1': -0.6058232, 'omega2': -0.9032043, 'delta2': 1.9956462, 'coupling_strength_zx': -1.3109922}]",5
1,1.7436641112149505,0.10810136996333664,0.04968450315464012,0.2864810959706693,"[{'omega1': -1.9999133, 'delta1': 1.9918948, 'omega2': -1.9999999, 'delta2': -1.9999983, 'coupling_strength_zx': 1.2613659}, {'omega1': 1.9960412, 'delta1': -1.8236909, 'omega2': -1.99999, 'delta2': -1.8983226, 'coupling_strength_zx': 2.0}, {'omega1': 1.9997774, 'delta1': 2.0, 'omega2': -1.9999958, 'delta2': 1.9996594, 'coupling_strength_zx': 1.9999995}, {'omega1': 0.83459085, 'delta1': 1.9868962, 'omega2': 1.9966378, 'delta2': 1.9964249, 'coupling_strength_zx': 0.42300215}, {'omega1': -1.9993387, 'delta1': -2.0, 'omega2': -1.9967852, 'delta2': -1.959603, 'coupling_strength_zx': 2.0}]",5
2,3.428099184674211,0.03595883460838597,0.015904420951197273,0.22876706768670876,"[{'omega1': 2.0, 'delta1': -0.00031375885, 'omega2': -1.9999619, 'delta2': 1.9999841, 'coupling_strength_zx': 1.9997514}, {'omega1': 1.9993871, 'delta1': -1.9999982, 'omega2': 1.9991858, 'delta2': -1.6677842, 'coupling_strength_zx': -1.9999995}, {'omega1': 1.9999999, 'delta1': 1.9769697, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -1.7627655}, {'omega1': -1.1803198, 'delta1': -2.0, 'omega2': -1.9999963, 'delta2': 1.9999816, 'coupling_strength_zx': -1.9999964}, {'omega1': -1.987002, 'delta1': 1.9941748, 'omega2': 1.9998626, 'delta2': -1.9999994, 'coupling_strength_zx': -1.7944022}]",5
3,2.3851409409233937,0.008543143657800798,0.0037261795526587886,0.20683451492624064,"[{'omega1': 1.9988877, 'delta1': 1.9999976, 'omega2': 1.3940266, 'delta2': -1.9999973, 'coupling_strength_zx': -2.0}, {'omega1': 2.0, 'delta1': -1.9999999, 'omega2': 1.9967031, 'delta2': -2.0, 'coupling_strength_zx': 1.7223786}, {'omega1': 1.9965651, 'delta1': 2.0, 'omega2': 2.0, 'delta2': -1.9990065, 'coupling_strength_zx': -1.9999999}, {'omega1': 1.9999957, 'delta1': -1.9997314, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': 1.9999526}, {'omega1': 1.9998866, 'delta1': 0.32089153, 'omega2': -1.9928614, 'delta2': -2.0, 'coupling_strength_zx': 1.9981713}]",5
4,2.879806792890971,0.01291728819306472,0.00564645444657332,0.21033383055445176,"[{'omega1': 2.0, 'delta1': -1.9999974, 'omega2': 1.9998568, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': 2.0, 'delta1': -1.9957914, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -0.5770582}, {'omega1': 1.9932512, 'delta1': 1.9996637, 'omega2': 1.9998995, 'delta2': -1.9999957, 'coupling_strength_zx': -1.9995755}, {'omega1': -1.2215852, 'delta1': 1.9998493, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -1.5650083}, {'omega1': 1.9930072, 'delta1': -1.7392945, 'omega2': -1.9222156, 'delta2': -2.0, 'coupling_strength_zx': -2.0}]",5
5,3.901326525749607,0.06422528908779969,0.028828695689775415,0.25138023127023973,"[{'omega1': -1.9961393, 'delta1': 2.0, 'omega2': 1.9995244, 'delta2': 1.2958447, 'coupling_strength_zx': -1.9979465}, {'omega1': 2.0, 'delta1': 2.0, 'omega2': -1.9999994, 'delta2': -1.9999733, 'coupling_strength_zx': 1.999997}, {'omega1': 1.9991087, 'delta1': 2.0, 'omega2': -1.583523, 'delta2': 2.0, 'coupling_strength_zx': -2.0}, {'omega1': -1.9605622, 'delta1': 2.0, 'omega2': -1.9997102, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': 2.0, 'delta1': 1.9532057, 'omega2': 1.9957147, 'delta2': 1.9989152, 'coupling_strength_zx': -2.0}]",5
6,5.151979337569833,0.011948694284263314,0.005220503579658711,0.20955895542741065,"[{'omega1': 1.999945, 'delta1': 0.09438175, 'omega2': 2.0, 'delta2': -1.9999952, 'coupling_strength_zx': -1.9999808}, {'omega1': 1.9999989, 'delta1': -2.0, 'omega2': 1.9999973, 'delta2': -2.0, 'coupling_strength_zx': -1.961773}, {'omega1': 1.9999952, 'delta1': -1.8598732, 'omega2': 1.9896241, 'delta2': -2.0, 'coupling_strength_zx': -1.9820018}, {'omega1': 1.9999955, 'delta1': -1.9959952, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': -1.3490002, 'delta1': 2.0, 'omega2': -2.0, 'delta2': -1.9901935, 'coupling_strength_zx': -1.9998388}]",5
7,6.555332938509958,0.03618858559098742,0.016007934659116076,0.22895086847278995,"[{'omega1': -2.0, 'delta1': 2.0, 'omega2': 1.9999515, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': -1.5712844, 'delta1': 1.9999999, 'omega2': 2.0, 'delta2': -1.9999998, 'coupling_strength_zx': -1.9999999}, {'omega1': -1.2934301, 'delta1': -1.9437234, 'omega2': 1.9999999, 'delta2': 1.9983575, 'coupling_strength_zx': -2.0}, {'omega1': -1.9999993, 'delta1': 2.0, 'omega2': 1.9999944, 'delta2': 2.0, 'coupling_strength_zx': -1.9999828}, {'omega1': 1.9989139, 'delta1': 2.0, 'omega2': -1.7553332, 'delta2': -0.07371709, 'coupling_strength_zx': -1.9972903}]",5
8,7.979986585002791,0.0038552673469305684,0.0016775571324728652,0.20308421387754447,"[{'omega1': 2.0, 'delta1': 1.9999776, 'omega2': 2.0, 'delta2': 1.690319, 'coupling_strength_zx': -2.0}, {'omega1': 1.9999951, 'delta1': 1.907146, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -1.9999803}, {'omega1': 1.9999791, 'delta1': 2.0, 'omega2': 1.9999733, 'delta2': 1.978024, 'coupling_strength_zx': -1.9999996}, {'omega1': -1.9879854, 'delta1': 1.9999995, 'omega2': 1.7735814, 'delta2': 1.9999856, 'coupling_strength_zx': -1.9999745}, {'omega1': 2.0, 'delta1': 1.8634068, 'omega2': -1.9998521, 'delta2': 1.9999868, 'coupling_strength_zx': 1.9947839}]",5
9,8.16927193992075,0.031156323704575942,0.013746291059749222,0.22492505896366075,"[{'omega1': -1.8468678, 'delta1': 1.9994123, 'omega2': 2.0, 'delta2': 1.9917109, 'coupling_strength_zx': -2.0}, {'omega1': 1.9999311, 'delta1': 1.9999996, 'omega2': 2.0, 'delta2': 2.0, 'coupling_strength_zx': -2.0}, {'omega1': -1.9966305, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 1.0942955, 'coupling_strength_zx': 1.5042412}, {'omega1': -1.903993, 'delta1': 1.9973251, 'omega2': 1.9992887, 'delta2': 1.9991058, 'coupling_strength_zx': -1.993543}, {'omega1': 1.6341221, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 1.9999987, 'coupling_strength_zx': -1.9885108}]",5
