episode,total_reward,fidelity,log_infidelity,avg_fidelity,pulse_params,time_step
0,3.79274288406451,0.13494866399016597,0.0629581187961801,0.3079589311921328,"[{'omega1': -1.2321413, 'delta1': 1.9999925, 'omega2': 1.9853216, 'delta2': -1.9686565, 'coupling_strength_zx': -1.9985975}, {'omega1': 0.66100955, 'delta1': 0.90460175, 'omega2': -1.3103225, 'delta2': -1.8078175, 'coupling_strength_zx': -2.0}, {'omega1': 0.38481626, 'delta1': 1.8945385, 'omega2': -1.999994, 'delta2': -1.1818566, 'coupling_strength_zx': 1.6899693}, {'omega1': 1.9908397, 'delta1': -1.9999654, 'omega2': 1.999924, 'delta2': -0.6420284, 'coupling_strength_zx': -1.9997289}, {'omega1': 1.3500056, 'delta1': -1.7765664, 'omega2': 1.9999952, 'delta2': 0.72262245, 'coupling_strength_zx': 1.9273089}]",5
1,2.5312330334062065,0.060059885588430784,0.026899815346147472,0.24804790847074462,"[{'omega1': 0.77012813, 'delta1': 1.8007952, 'omega2': -1.9999999, 'delta2': -0.51756704, 'coupling_strength_zx': 1.9992507}, {'omega1': 1.9469578, 'delta1': 1.9616232, 'omega2': 2.0, 'delta2': -0.7251577, 'coupling_strength_zx': 2.0}, {'omega1': 1.9821954, 'delta1': -1.9976937, 'omega2': 1.99884, 'delta2': -0.473796, 'coupling_strength_zx': 1.735037}, {'omega1': 1.8884959, 'delta1': 1.5426424, 'omega2': 2.0, 'delta2': -0.79939175, 'coupling_strength_zx': -1.9312141}, {'omega1': 1.7997217, 'delta1': 1.9899385, 'omega2': 1.8823056, 'delta2': 1.1235642, 'coupling_strength_zx': 0.47732362}]",5
2,3.1337875786384104,0.009114583219267183,0.0039765632109451925,0.20729166657541373,"[{'omega1': 1.8624685, 'delta1': 1.5776829, 'omega2': -1.9863256, 'delta2': 1.999404, 'coupling_strength_zx': 0.103784}, {'omega1': 1.9200844, 'delta1': 1.3103642, 'omega2': 1.9999985, 'delta2': 1.8084669, 'coupling_strength_zx': 2.0}, {'omega1': 1.9598149, 'delta1': 1.8787246, 'omega2': 1.9982285, 'delta2': 0.12308544, 'coupling_strength_zx': -0.3169388}, {'omega1': 1.9624662, 'delta1': 1.8731025, 'omega2': 1.9997854, 'delta2': 1.915649, 'coupling_strength_zx': -2.0}, {'omega1': 1.9212441, 'delta1': 1.9575953, 'omega2': 1.9640387, 'delta2': -1.1711199, 'coupling_strength_zx': -1.9518782}]",5
3,5.552597598127888,0.040480494755125225,0.017946192440634046,0.23238439580410017,"[{'omega1': 1.5647533, 'delta1': 1.7745596, 'omega2': -1.9999986, 'delta2': 0.8631526, 'coupling_strength_zx': -1.9999985}, {'omega1': -0.7025312, 'delta1': 0.6031242, 'omega2': -1.9994557, 'delta2': 1.4105471, 'coupling_strength_zx': 1.9339228}, {'omega1': 1.9376736, 'delta1': 1.5187169, 'omega2': 2.0, 'delta2': 0.48523143, 'coupling_strength_zx': -1.9394175}, {'omega1': 1.7370222, 'delta1': -1.3915865, 'omega2': 1.9999822, 'delta2': 1.6370552, 'coupling_strength_zx': 0.28921527}, {'omega1': 1.6639773, 'delta1': 1.8990989, 'omega2': 2.0, 'delta2': 1.9451808, 'coupling_strength_zx': 2.0}]",5
4,4.068481780461554,0.10953466347798922,0.05038298181580774,0.2876277307823914,"[{'omega1': 0.47822264, 'delta1': 1.8002062, 'omega2': 2.0, 'delta2': 0.5203875, 'coupling_strength_zx': 2.0}, {'omega1': 0.27654248, 'delta1': 1.566894, 'omega2': 1.9999989, 'delta2': -0.49708632, 'coupling_strength_zx': 2.0}, {'omega1': -0.92020535, 'delta1': 1.7085319, 'omega2': -1.1038153, 'delta2': 1.1160152, 'coupling_strength_zx': 1.9999886}, {'omega1': 0.87015957, 'delta1': -0.026920004, 'omega2': 1.0948172, 'delta2': 1.2866511, 'coupling_strength_zx': 1.9996954}, {'omega1': -1.276529, 'delta1': 1.3610489, 'omega2': -1.9701785, 'delta2': 0.96572816, 'coupling_strength_zx': -1.9788383}]",5
5,4.782076320837956,0.14180101058400554,0.0664120012124771,0.3134408084672044,"[{'omega1': 1.7735124, 'delta1': 0.88461024, 'omega2': 2.0, 'delta2': 1.9999992, 'coupling_strength_zx': -1.9995724}, {'omega1': -1.9962091, 'delta1': 0.3272102, 'omega2': -1.999984, 'delta2': -1.9999812, 'coupling_strength_zx': 1.9999996}, {'omega1': 1.8774774, 'delta1': 0.3185745, 'omega2': 1.9989265, 'delta2': -1.9999142, 'coupling_strength_zx': -2.0}, {'omega1': -1.9296763, 'delta1': 1.0074667, 'omega2': -2.0, 'delta2': -1.9597527, 'coupling_strength_zx': -1.9998834}, {'omega1': -1.9835315, 'delta1': -0.48678923, 'omega2': -1.4970424, 'delta2': 1.9915049, 'coupling_strength_zx': 1.9075067}]",5
6,3.2922191545945187,0.012560391536348331,0.005489456221009212,0.2100483132290787,"[{'omega1': -0.48922056, 'delta1': 0.9239846, 'omega2': 1.9999912, 'delta2': 2.0, 'coupling_strength_zx': -1.9997842}, {'omega1': -2.0, 'delta1': 0.21554434, 'omega2': 1.9999999, 'delta2': 2.0, 'coupling_strength_zx': 1.9999177}, {'omega1': -1.9999856, 'delta1': 0.33978257, 'omega2': 1.9998661, 'delta2': 1.7907624, 'coupling_strength_zx': -2.0}, {'omega1': -1.65207, 'delta1': 0.21292332, 'omega2': 2.0, 'delta2': -1.9990993, 'coupling_strength_zx': -1.9856405}, {'omega1': 1.8483933, 'delta1': 0.97255605, 'omega2': 1.9925693, 'delta2': 1.9999374, 'coupling_strength_zx': -1.88305}]",5
7,2.572180892375375,0.11435058915435457,0.052738161936246,0.29148047132348365,"[{'omega1': -1.5539116, 'delta1': 0.3708879, 'omega2': -1.9945716, 'delta2': 1.1055284, 'coupling_strength_zx': 1.9999833}, {'omega1': 1.9969811, 'delta1': 0.969692, 'omega2': 2.0, 'delta2': -0.59292585, 'coupling_strength_zx': -1.4432516}, {'omega1': 1.3929651, 'delta1': -1.4621813, 'omega2': 1.996979, 'delta2': 1.9999944, 'coupling_strength_zx': 1.9909248}, {'omega1': -1.849667, 'delta1': -0.87435836, 'omega2': -2.0, 'delta2': 1.9993378, 'coupling_strength_zx': -1.9999998}, {'omega1': -1.4144151, 'delta1': -1.308653, 'omega2': -1.9895082, 'delta2': -1.9999992, 'coupling_strength_zx': -1.7506219}]",5
8,2.8044222758990163,0.02244635902725217,0.009859402382939128,0.21795708722180174,"[{'omega1': 1.9998353, 'delta1': -0.54388666, 'omega2': 1.9866428, 'delta2': -1.981138, 'coupling_strength_zx': -1.9999835}, {'omega1': -1.6856915, 'delta1': 0.27920234, 'omega2': 2.0, 'delta2': 1.9996674, 'coupling_strength_zx': 1.9989413}, {'omega1': 1.7924509, 'delta1': -0.717747, 'omega2': 1.9999617, 'delta2': 2.0, 'coupling_strength_zx': 1.9806191}, {'omega1': 1.856251, 'delta1': -0.5653752, 'omega2': 0.77605253, 'delta2': 1.9125768, 'coupling_strength_zx': -1.9994645}, {'omega1': 1.5670629, 'delta1': 0.4829767, 'omega2': -1.9685858, 'delta2': 0.51414984, 'coupling_strength_zx': -2.0}]",5
9,2.678224615261898,0.11782817101401462,0.05444681496758744,0.2942625368112117,"[{'omega1': 1.9990182, 'delta1': -0.5972987, 'omega2': 0.33636194, 'delta2': -1.9973953, 'coupling_strength_zx': -2.0}, {'omega1': -1.9515764, 'delta1': -0.6588411, 'omega2': -1.9999855, 'delta2': 1.6599748, 'coupling_strength_zx': -2.0}, {'omega1': 1.9489958, 'delta1': 0.93361634, 'omega2': -1.9999996, 'delta2': 1.9999505, 'coupling_strength_zx': -1.9999995}, {'omega1': 1.9037458, 'delta1': -0.20515361, 'omega2': -2.0, 'delta2': 1.8377302, 'coupling_strength_zx': -1.999996}, {'omega1': -1.9872618, 'delta1': -1.2271657, 'omega2': -1.9999949, 'delta2': 1.9992806, 'coupling_strength_zx': -2.0}]",5
