episode,total_reward,fidelity,log_infidelity,avg_fidelity,pulse_params,time_step
0,4.086497532677975,0.14537447497665298,0.06822414029106025,0.3162995799813224,"[{'omega1': -2.0, 'delta1': 2.0, 'omega2': -2.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': 0.0, 'delta2': 0.0, 'coupling_strength_zx': 1.0}, {'omega1': -2.0, 'delta1': -2.0, 'omega2': 0.0, 'delta2': -2.0, 'coupling_strength_zx': -1.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 0.0, 'delta2': 2.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",5
1,5.491409502687597,0.030180432950324302,0.013309057820025895,0.22414434636025943,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -1.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': 0.0, 'delta2': 2.0, 'coupling_strength_zx': -2.0}, {'omega1': 2.0, 'delta1': 2.0, 'omega2': 0.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 2.0, 'delta1': 2.0, 'omega2': 0.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",5
2,7.254519444344799,0.022413981202362866,0.009845018233329695,0.2179311849618903,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 2.0, 'delta1': 2.0, 'omega2': 0.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 0.0, 'delta2': 2.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 0.0, 'delta2': 2.0, 'coupling_strength_zx': -1.0}]",5
3,18.395614640117397,0.09939089265784505,0.045463665580454456,0.27951271412627604,"[{'omega1': 0.0, 'delta1': 0.0, 'omega2': 0.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': -2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': -2.0, 'delta1': 0.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",3
4,101.76362415009866,0.86106336090881,0.8571832110166119,0.8888506887270481,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': -2.0, 'coupling_strength_zx': -2.0}]",2
5,319.656064544602,0.6359498208629835,0.4388387509104237,0.7087598566903868,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",1
6,301.63866167410293,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
7,369.28597674921593,0.6359498208629835,0.4388387509104237,0.7087598566903868,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",1
8,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
9,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
10,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
11,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
12,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
13,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
14,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
15,349.3255067776266,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
16,367.95164745443105,0.6359498208629835,0.4388387509104237,0.7087598566903868,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",1
17,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
18,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
19,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
20,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
21,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
22,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
23,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
24,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
25,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
26,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
27,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
28,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
29,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
30,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
31,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
32,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
33,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
34,397.34530925487456,0.9993605409230324,3.194187243547846,0.9994884327384259,"[{'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}, {'omega1': 0.0, 'delta1': 2.0, 'omega2': 2.0, 'delta2': 0.0, 'coupling_strength_zx': -2.0}]",2
