episode,total_reward,fidelity,log_infidelity,avg_fidelity,pulse_params,time_step
0,-0.5117193329908238,0.3910882019522543,0.2154456111361587,0.5940588013015029,"[{'omega': 2.0, 'delta': 2.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': 2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': 0.0, 'delta': 0.0}, {'omega': -2.0, 'delta': 2.0}, {'omega': 0.0, 'delta': 0.0}, {'omega': 0.0, 'delta': 0.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': 0.0, 'delta': -2.0}, {'omega': 0.0, 'delta': 0.0}, {'omega': 0.0, 'delta': 0.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': 2.0, 'delta': -2.0}]",19
1,0.1756845041658337,0.4329836992171153,0.2464044556779984,0.6219891328114102,"[{'omega': 0.0, 'delta': 2.0}, {'omega': -2.0, 'delta': 2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': 2.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': 2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': 0.0, 'delta': 0.0}, {'omega': 0.0, 'delta': 2.0}, {'omega': 2.0, 'delta': 2.0}]",10
2,0.10541485402385907,0.02171076797195882,0.009532726701856538,0.34780717864797256,"[{'omega': -2.0, 'delta': 2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': 0.0, 'delta': -2.0}, {'omega': 2.0, 'delta': 0.0}, {'omega': 0.0, 'delta': 0.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': 2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': 0.0, 'delta': -2.0}]",10
3,0.061923930393962566,0.05703405640813209,0.02550399207413609,0.3713560376054214,"[{'omega': 2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': 2.0, 'delta': 0.0}, {'omega': 0.0, 'delta': 2.0}, {'omega': 0.0, 'delta': 0.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': 0.0, 'delta': 2.0}, {'omega': -2.0, 'delta': 0.0}]",10
4,0.20724854537403328,0.02890315350211275,0.012737456186476143,0.3526021023347418,"[{'omega': 0.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': 0.0, 'delta': 2.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': 2.0, 'delta': 2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': 2.0}, {'omega': 0.0, 'delta': 0.0}, {'omega': 0.0, 'delta': 2.0}, {'omega': 2.0, 'delta': 0.0}]",10
5,0.20620955450167386,0.153748745713617,0.07250067460901352,0.4358324971424113,"[{'omega': -2.0, 'delta': 2.0}, {'omega': 0.0, 'delta': 0.0}, {'omega': 2.0, 'delta': 2.0}, {'omega': 0.0, 'delta': 2.0}, {'omega': 0.0, 'delta': 0.0}, {'omega': 0.0, 'delta': -2.0}, {'omega': 0.0, 'delta': 2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': 0.0, 'delta': 2.0}, {'omega': 0.0, 'delta': -2.0}]",10
6,0.24527135822234825,0.44854238721648243,0.2584878635350868,0.6323615914776549,"[{'omega': -2.0, 'delta': -2.0}, {'omega': 0.0, 'delta': 2.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': 2.0}, {'omega': 2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': 0.0, 'delta': -2.0}, {'omega': 0.0, 'delta': 2.0}]",10
7,0.02699961012116413,0.0014215212486202162,0.0006177980448152054,0.3342810141657468,"[{'omega': 0.0, 'delta': -2.0}, {'omega': 2.0, 'delta': 0.0}, {'omega': 0.0, 'delta': -2.0}, {'omega': 2.0, 'delta': 2.0}, {'omega': 0.0, 'delta': -2.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': 0.0, 'delta': 0.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': 0.0}]",10
8,0.09618365804038972,0.10435063629044858,0.0478619782954802,0.4029004241936324,"[{'omega': 0.0, 'delta': 2.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': 0.0, 'delta': 0.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': 2.0}, {'omega': 2.0, 'delta': 0.0}, {'omega': 0.0, 'delta': 0.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': 2.0}]",10
9,0.825600422393465,0.5500347616216218,0.34682103592150254,0.7000231744144146,"[{'omega': 2.0, 'delta': 2.0}, {'omega': 2.0, 'delta': 0.0}, {'omega': 2.0, 'delta': 2.0}, {'omega': 0.0, 'delta': 2.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': 0.0, 'delta': -2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': 2.0}, {'omega': 0.0, 'delta': 2.0}]",10
