episode,total_reward,fidelity,log_infidelity,avg_fidelity,control_pulse_params,time_step
0,1.3563484452760957,0.10969011735047636,0.05045880582599873,0.40646007823365093,"[{'omega': 1.9999814, 'delta': 1.3838061}, {'omega': 1.9201356, 'delta': -1.9411465}, {'omega': -1.5621487, 'delta': -1.9499333}, {'omega': 1.9785907, 'delta': -1.7785312}, {'omega': 1.6889958, 'delta': -1.9141572}, {'omega': 1.9724823, 'delta': -1.9918905}, {'omega': -0.04431476, 'delta': -1.9576414}, {'omega': 1.398361, 'delta': -1.9248223}, {'omega': 1.8896078, 'delta': -1.4904735}, {'omega': 1.9319733, 'delta': -1.9819994}]",10
1,5.551634636286665,0.6482142003591271,0.4537216954700332,0.7654761335727515,"[{'omega': -1.3574162, 'delta': -1.9584831}, {'omega': -1.8654414, 'delta': -1.9818474}, {'omega': 0.36387253, 'delta': -1.9941618}, {'omega': -1.499082, 'delta': -1.6659358}, {'omega': 0.7989166, 'delta': -1.8530191}, {'omega': 0.040868316, 'delta': -1.9629314}, {'omega': -1.4992731, 'delta': -1.9788324}, {'omega': -1.9988724, 'delta': -1.4426584}, {'omega': 1.891341, 'delta': 1.9727253}, {'omega': 1.9500337, 'delta': 1.4194939}]",10
2,1.6811131637974515,0.03770144076807996,0.01669016443771987,0.35846762717871994,"[{'omega': -0.44525534, 'delta': -1.9727015}, {'omega': 0.7352738, 'delta': -1.984618}, {'omega': 0.1766391, 'delta': -1.9616323}, {'omega': 1.7355862, 'delta': 1.1968086}, {'omega': -0.96231633, 'delta': -1.9711514}, {'omega': 1.1887314, 'delta': -1.9539381}, {'omega': 1.7820361, 'delta': -1.9994426}, {'omega': 0.31501514, 'delta': -1.9999621}, {'omega': 1.9483005, 'delta': -1.9896353}, {'omega': 1.942673, 'delta': -1.992849}]",10
3,3.9137145361287793,0.03635495974433065,0.01608290950664937,0.35756997316288713,"[{'omega': 0.51282054, 'delta': -1.7814863}, {'omega': -1.2649786, 'delta': -1.9866128}, {'omega': -0.5039904, 'delta': -1.9937186}, {'omega': -0.04433122, 'delta': -1.9996486}, {'omega': 1.3999596, 'delta': -1.9990807}, {'omega': 1.305233, 'delta': -1.9999785}, {'omega': 1.9999988, 'delta': -1.2388699}, {'omega': 1.8576587, 'delta': -1.9999853}, {'omega': -1.9394976, 'delta': -1.9994444}, {'omega': 1.9994347, 'delta': -2.0}]",10
4,3.33374547100415,0.6763366236378883,0.4899064397499951,0.7842244157585921,"[{'omega': 0.53942007, 'delta': -1.6890373}, {'omega': -1.5197124, 'delta': -1.9978912}, {'omega': -0.9430109, 'delta': -1.8947352}, {'omega': -0.42705587, 'delta': -1.9856627}, {'omega': 0.6976157, 'delta': -1.9242386}, {'omega': -1.8826286, 'delta': 1.9632157}, {'omega': -1.5183067, 'delta': -1.9397569}, {'omega': -0.57891726, 'delta': -1.838311}, {'omega': 1.9494272, 'delta': 1.9999987}, {'omega': 1.9675026, 'delta': -1.9945582}]",10
5,3.195780885561112,0.14054537440823342,0.06577704669686578,0.42703024960548897,"[{'omega': 0.26457784, 'delta': -1.8247352}, {'omega': -1.4010775, 'delta': 1.6938899}, {'omega': -1.4681959, 'delta': -1.9808968}, {'omega': 1.5433766, 'delta': -1.7302387}, {'omega': 1.6094, 'delta': -1.4550972}, {'omega': 1.7009361, 'delta': -1.9999871}, {'omega': 0.5001326, 'delta': -1.0329049}, {'omega': 1.8484144, 'delta': 1.9909384}, {'omega': -1.1364253, 'delta': -1.8877448}, {'omega': -2.0, 'delta': -2.0}]",10
6,5.9111364194322435,0.6658358738086188,0.4760401751289641,0.7772239158724125,"[{'omega': 0.46380925, 'delta': -1.6421869}, {'omega': -1.6865915, 'delta': -1.9419161}, {'omega': 1.8431785, 'delta': -0.60783494}, {'omega': 1.1129253, 'delta': -1.0820229}, {'omega': -1.7772343, 'delta': -1.9844874}, {'omega': -1.6215075, 'delta': -1.8866757}, {'omega': -1.9985777, 'delta': -0.6184329}, {'omega': -1.8137922, 'delta': 0.13881703}, {'omega': -1.1942241, 'delta': -1.2283297}, {'omega': -1.9999998, 'delta': -1.9036336}]",10
7,4.186845272494807,0.5422406509107485,0.3393627770832622,0.6948271006071657,"[{'omega': -0.7057976, 'delta': -1.919104}, {'omega': -1.0671772, 'delta': -1.9998019}, {'omega': -1.0116976, 'delta': -1.9604751}, {'omega': -1.0971557, 'delta': -1.9348922}, {'omega': 1.6561766, 'delta': -0.90812147}, {'omega': 1.4551501, 'delta': -0.3256557}, {'omega': 0.23361418, 'delta': -1.807227}, {'omega': -1.7466651, 'delta': -1.949248}, {'omega': -1.9999971, 'delta': -1.5327284}, {'omega': -2.0, 'delta': 1.2885528}]",10
8,5.829136898544023,0.47674611022382235,0.28128753450948474,0.6511640734825482,"[{'omega': -0.27163276, 'delta': -1.9785504}, {'omega': 1.1768761, 'delta': -1.9184822}, {'omega': -0.2358891, 'delta': -1.8771347}, {'omega': 0.14475027, 'delta': -1.9904873}, {'omega': 2.0, 'delta': -1.9941014}, {'omega': -1.9999957, 'delta': -1.9989707}, {'omega': -1.9998927, 'delta': -1.9992844}, {'omega': 2.0, 'delta': -1.9999125}, {'omega': -1.9994216, 'delta': -1.9999729}, {'omega': 2.0, 'delta': -1.9925171}]",10
9,2.396077377467502,0.32257746453587144,0.1691403600018013,0.5483849763572476,"[{'omega': 1.5498829, 'delta': -1.3063205}, {'omega': 1.0836354, 'delta': 1.9030242}, {'omega': -1.0512433, 'delta': -1.3920817}, {'omega': -1.141319, 'delta': -1.7927495}, {'omega': 1.8618829, 'delta': -1.7943257}, {'omega': 0.46427706, 'delta': -1.9937017}, {'omega': 0.24901327, 'delta': -1.9506599}, {'omega': -1.9665805, 'delta': -1.9895637}, {'omega': 2.0, 'delta': -1.9991037}, {'omega': 1.9998187, 'delta': -1.9987931}]",10
10,4.055256898165558,0.2738266548759723,0.13895969631820104,0.5158844365839815,"[{'omega': 1.0878186, 'delta': -1.5996549}, {'omega': -0.66104794, 'delta': -1.1786726}, {'omega': 0.06640115, 'delta': -0.7414825}, {'omega': -0.041085735, 'delta': -1.9931263}, {'omega': -0.8251615, 'delta': -1.9898118}, {'omega': 0.9212227, 'delta': -1.6747837}, {'omega': 1.9988446, 'delta': -1.9529796}, {'omega': -1.1037319, 'delta': -1.9674672}, {'omega': 1.9997776, 'delta': -1.9965688}, {'omega': -1.9999998, 'delta': -1.7726179}]",10
11,2.4486821924443443,0.12774804234932188,0.05935804716396399,0.41849869489954794,"[{'omega': -0.64163905, 'delta': 1.1168412}, {'omega': 0.18178998, 'delta': -1.0943849}, {'omega': 0.38698205, 'delta': -1.9456112}, {'omega': -0.1850008, 'delta': 1.968187}, {'omega': 0.85814613, 'delta': -1.83011}, {'omega': -0.24084154, 'delta': 0.8314163}, {'omega': 0.65957457, 'delta': -1.999954}, {'omega': 1.2748535, 'delta': -1.8013138}, {'omega': 1.1460614, 'delta': -1.9967494}, {'omega': -0.96076596, 'delta': -1.9718037}]",10
12,3.3260763302667633,0.5350056073244546,0.33255228419553406,0.6900037382163031,"[{'omega': 1.1577191, 'delta': -1.8373642}, {'omega': -0.21415398, 'delta': -1.9990888}, {'omega': 0.75194305, 'delta': -1.9513652}, {'omega': -0.8306637, 'delta': -1.9238316}, {'omega': -1.8332855, 'delta': -1.9493182}, {'omega': -1.9965905, 'delta': -1.9157441}, {'omega': -1.5725553, 'delta': -1.9769603}, {'omega': 2.0, 'delta': -1.6261958}, {'omega': -1.9999987, 'delta': -1.9054134}, {'omega': -1.9999961, 'delta': -1.9568136}]",10
13,8.11202513397148,0.3077936396525623,0.15976441450287837,0.5385290931017082,"[{'omega': -0.72204316, 'delta': 1.8476197}, {'omega': -1.6795857, 'delta': -1.9997115}, {'omega': 0.5149166, 'delta': -1.9235698}, {'omega': -1.479115, 'delta': 0.87370485}, {'omega': -1.8124691, 'delta': -0.2744058}, {'omega': -1.8818364, 'delta': -1.9943208}, {'omega': -1.5464547, 'delta': -1.905237}, {'omega': 1.8426234, 'delta': -1.9937841}, {'omega': 1.9217709, 'delta': -1.8165615}, {'omega': 0.1679, 'delta': -1.9999632}]",10
14,2.5607452630517087,0.5069052373362796,0.30706961024177937,0.6712701582241865,"[{'omega': -0.46617004, 'delta': -1.9017226}, {'omega': -1.1859822, 'delta': -1.9711185}, {'omega': -0.6295786, 'delta': -1.9974682}, {'omega': 0.01577568, 'delta': -1.9353766}, {'omega': -1.5194184, 'delta': -1.98689}, {'omega': 1.9228368, 'delta': -1.9501907}, {'omega': -1.7349585, 'delta': -1.9959322}, {'omega': -1.9911635, 'delta': -1.9905915}, {'omega': 1.9971995, 'delta': -1.9998008}, {'omega': 1.3392943, 'delta': -1.7241727}]",10
15,5.180381154538387,0.5337289643507512,0.33136156170269243,0.6891526429005008,"[{'omega': 0.52087474, 'delta': -1.8290174}, {'omega': -0.77480465, 'delta': -1.9921731}, {'omega': 0.1588617, 'delta': -1.98303}, {'omega': -0.60007983, 'delta': -1.5374471}, {'omega': -0.24723414, 'delta': -1.9956917}, {'omega': -1.8592491, 'delta': -1.9122361}, {'omega': 0.008711885, 'delta': -1.9704962}, {'omega': 1.9999956, 'delta': -1.9966081}, {'omega': -0.5002917, 'delta': -1.9977481}, {'omega': 1.9989313, 'delta': -1.9839076}]",10
16,3.9145598229069893,0.3551331058977932,0.19052991811271552,0.5700887372651954,"[{'omega': -0.005216956, 'delta': -1.7611523}, {'omega': 0.4139054, 'delta': 0.5830049}, {'omega': 0.30538926, 'delta': -1.9340662}, {'omega': 0.4470612, 'delta': -1.9983761}, {'omega': -0.5103326, 'delta': -1.9357026}, {'omega': -0.5265953, 'delta': -0.3680232}, {'omega': -0.6871253, 'delta': -1.8964776}, {'omega': 1.9918255, 'delta': -1.9839768}, {'omega': 1.9926249, 'delta': -1.9972177}, {'omega': -1.9999996, 'delta': -1.9781759}]",10
17,3.1444124795086625,0.41402766399430685,0.23212288671854905,0.6093517759962045,"[{'omega': -0.2565727, 'delta': -1.9934642}, {'omega': 0.8097936, 'delta': -1.9614956}, {'omega': 0.49209002, 'delta': -1.9709108}, {'omega': 0.05556935, 'delta': -1.7813613}, {'omega': -1.4150565, 'delta': -1.9510655}, {'omega': -1.9041805, 'delta': -1.9968764}, {'omega': 0.54114175, 'delta': -1.8210235}, {'omega': 1.9966547, 'delta': -1.9951837}, {'omega': 2.0, 'delta': -1.9783057}, {'omega': 2.0, 'delta': -1.9875526}]",10
