episode,total_reward,fidelity,log_infidelity,avg_fidelity,pulse_params,time_step
0,1.7052841997512351,0.1867471978198146,0.08977443161906279,0.4578314652132098,"[{'omega': 0.86100024, 'delta': 0.92391205}, {'omega': -1.8712679, 'delta': 1.8803616}, {'omega': -0.94636667, 'delta': 0.6717249}, {'omega': -1.7382039, 'delta': 0.7035722}, {'omega': -1.3952887, 'delta': 1.5273048}, {'omega': 0.45584208, 'delta': 1.5410738}, {'omega': 0.3506865, 'delta': 1.5970047}, {'omega': 0.9920199, 'delta': 1.8860118}, {'omega': 0.42421594, 'delta': 1.9255323}, {'omega': -1.6681397, 'delta': 0.45938778}]",10
1,1.631650002352004,0.5033781179244948,0.3039741485444917,0.6689187452829964,"[{'omega': 1.9090996, 'delta': 1.9115305}, {'omega': 1.5287551, 'delta': -0.5476395}, {'omega': -0.86593246, 'delta': 0.5422354}, {'omega': 0.3891891, 'delta': -1.360787}, {'omega': 0.60632265, 'delta': 1.018394}, {'omega': 1.2533472, 'delta': 0.52976084}, {'omega': 0.2367462, 'delta': 1.6903712}, {'omega': 0.83632505, 'delta': 0.63811207}, {'omega': 0.15156609, 'delta': 0.2333398}, {'omega': -1.5309763, 'delta': 1.9980303}]",10
2,1.5046731426069513,0.3033919696421122,0.15701152338909963,0.5355946464280747,"[{'omega': -1.3697485, 'delta': -1.9984852}, {'omega': -1.9703602, 'delta': 2.0}, {'omega': -1.9959139, 'delta': 1.9871}, {'omega': -1.6917636, 'delta': -1.9837655}, {'omega': -1.2214231, 'delta': 1.999894}, {'omega': -0.47398663, 'delta': 1.5170935}, {'omega': -1.0225451, 'delta': -1.9420453}, {'omega': 1.5410807, 'delta': -1.9999989}, {'omega': -1.2838912, 'delta': 1.9903654}, {'omega': -1.871644, 'delta': -1.9999495}]",10
3,1.2430883556162495,0.613122944369847,0.412427026052064,0.7420819629132313,"[{'omega': -1.0300374, 'delta': -1.999999}, {'omega': -1.2186098, 'delta': 1.9874462}, {'omega': -1.9407467, 'delta': -1.9990132}, {'omega': -1.1696407, 'delta': -1.9999915}, {'omega': -1.5763543, 'delta': 1.9895778}, {'omega': -1.8339067, 'delta': -1.9996082}, {'omega': -1.7079375, 'delta': 2.0}, {'omega': 0.019312557, 'delta': 2.0}, {'omega': -1.9746763, 'delta': -1.9346303}, {'omega': -1.3857961, 'delta': -1.8792518}]",10
4,2.5459850866742713,0.30837579013563804,0.16012981293068265,0.5389171934237588,"[{'omega': -1.997372, 'delta': -1.9999917}, {'omega': -1.8238103, 'delta': -1.9999987}, {'omega': -0.17377436, 'delta': 1.9899542}, {'omega': -1.9994165, 'delta': -1.9999986}, {'omega': 1.9632602, 'delta': -1.986115}, {'omega': -1.9531502, 'delta': 2.0}, {'omega': -1.6850318, 'delta': 2.0}, {'omega': 0.005317914, 'delta': 1.9984983}, {'omega': -1.9176941, 'delta': -1.976075}, {'omega': -1.822808, 'delta': 1.9589182}]",10
5,2.791537322219522,0.011318543897379818,0.00494361147734808,0.3408790292649199,"[{'omega': -0.92794925, 'delta': 1.9891174}, {'omega': 1.9931588, 'delta': 1.893207}, {'omega': 1.9969853, 'delta': 0.97776216}, {'omega': 0.7839675, 'delta': -1.9993644}, {'omega': -1.5807295, 'delta': -1.9972342}, {'omega': -1.921468, 'delta': 1.9999993}, {'omega': -1.9874908, 'delta': 1.94672}, {'omega': 1.4880717, 'delta': -2.0}, {'omega': 0.049630195, 'delta': -1.950327}, {'omega': -1.996483, 'delta': 1.9992272}]",10
6,2.213482324860135,0.4514333693885171,0.2607706141249783,0.634288912925678,"[{'omega': 1.9994901, 'delta': 1.286731}, {'omega': 1.9395941, 'delta': 0.8667655}, {'omega': 1.1215385, 'delta': 2.0}, {'omega': 0.672293, 'delta': -1.5297201}, {'omega': -1.8767586, 'delta': -1.9922023}, {'omega': 1.4428983, 'delta': 1.5138863}, {'omega': 0.852653, 'delta': 1.9942647}, {'omega': 1.9458333, 'delta': 0.30746588}, {'omega': 0.66949487, 'delta': -0.050002404}, {'omega': -1.7757323, 'delta': -1.9535075}]",10
7,1.401307981783194,0.20273535347294364,0.09839749359964574,0.4684902356486291,"[{'omega': 1.9796159, 'delta': 1.4786558}, {'omega': -1.6344668, 'delta': -1.9995835}, {'omega': -1.9977803, 'delta': 1.9156804}, {'omega': 1.6334364, 'delta': -1.9999907}, {'omega': 1.409338, 'delta': 1.9567336}, {'omega': -1.9999865, 'delta': 2.0}, {'omega': 1.9985677, 'delta': 2.0}, {'omega': 1.9027116, 'delta': 1.9996381}, {'omega': -0.7382674, 'delta': -1.9998432}, {'omega': 1.3572953, 'delta': -1.99996}]",10
8,3.162000629134364,0.8173974148547952,0.7384930783551149,0.87826494323653,"[{'omega': 1.9999384, 'delta': 1.9591084}, {'omega': 1.999999, 'delta': -1.9016601}, {'omega': 1.9999682, 'delta': 2.0}, {'omega': 1.9895334, 'delta': -1.9909424}, {'omega': 1.7423729, 'delta': -1.9966958}, {'omega': -1.8037586, 'delta': 1.9768903}, {'omega': 1.5715995, 'delta': 1.9982634}, {'omega': -0.47806045, 'delta': 2.0}, {'omega': 2.0, 'delta': 1.9268041}, {'omega': 1.6836929, 'delta': 0.6973055}]",10
9,2.7450652026084263,0.8862739304074508,0.944139969943533,0.9241826202716338,"[{'omega': 0.492585, 'delta': 1.9999735}, {'omega': 1.2792193, 'delta': 1.999997}, {'omega': 1.4116316, 'delta': -1.9999743}, {'omega': 1.9999998, 'delta': 1.8160901}, {'omega': 1.9999999, 'delta': 2.0}, {'omega': -1.9992672, 'delta': -1.7291863}, {'omega': 0.49717316, 'delta': 1.8967004}, {'omega': 1.6236007, 'delta': 1.9999908}, {'omega': -1.999462, 'delta': 2.0}, {'omega': 2.0, 'delta': -1.0457338}]",10
