episode,total_reward,fidelity,log_infidelity,avg_fidelity,pulse_params,time_step
0,-2.0640841316098015,0.5774524088738047,0.37412436979237085,0.7183016059158698,"[{'omega': -0.6956308, 'delta': -1.657888}, {'omega': -1.7241768, 'delta': -1.2643355}, {'omega': 1.2218262, 'delta': -1.9982262}, {'omega': -1.4715539, 'delta': -0.7285521}, {'omega': 1.0058227, 'delta': -1.9728163}, {'omega': -1.8213193, 'delta': -0.69560814}, {'omega': 0.46349657, 'delta': 0.13537681}, {'omega': -1.0930232, 'delta': -1.3983322}, {'omega': -0.09276565, 'delta': 0.25550675}, {'omega': 1.8234086, 'delta': -1.8287266}, {'omega': 0.5071313, 'delta': -0.7072521}, {'omega': -1.7302645, 'delta': -0.80662525}, {'omega': -1.446286, 'delta': -1.6889508}, {'omega': 0.82465833, 'delta': -0.4762651}, {'omega': -1.8178341, 'delta': -0.516426}, {'omega': 1.2904214, 'delta': 1.0170707}, {'omega': -0.98225677, 'delta': -1.5612029}, {'omega': 0.8365379, 'delta': -0.5543333}, {'omega': -1.458669, 'delta': -0.2337927}]",19
1,0.031383117291337005,0.26123773140670453,0.13149529374097416,0.507491820937803,"[{'omega': -0.059251007, 'delta': -1.2113323}, {'omega': 1.0467024, 'delta': 0.6310893}, {'omega': 0.18204199, 'delta': 0.023930365}, {'omega': -0.40838683, 'delta': -1.547833}, {'omega': 1.0629176, 'delta': -0.9716897}, {'omega': 1.8454401, 'delta': 0.64215803}, {'omega': 1.7726363, 'delta': -1.3720161}, {'omega': 1.5824534, 'delta': 1.2507935}, {'omega': 1.9110047, 'delta': 0.91213655}, {'omega': 1.2603528, 'delta': -1.2368665}]",10
2,0.2309566595611553,0.17073986434926314,0.08130921160192654,0.4471599095661754,"[{'omega': 1.7295604, 'delta': -0.27538845}, {'omega': 1.4454291, 'delta': 0.62489456}, {'omega': 1.4562323, 'delta': -0.61087906}, {'omega': 1.8742412, 'delta': -1.1036167}, {'omega': 1.7800628, 'delta': -1.1369516}, {'omega': 1.9691416, 'delta': 0.010747984}, {'omega': 1.7610654, 'delta': -0.95898503}, {'omega': 0.23433004, 'delta': -0.8267206}, {'omega': -0.6964334, 'delta': -1.3712287}, {'omega': -1.6354197, 'delta': 0.22055022}]",10
3,0.24224002102444142,0.2309536315532256,0.11404747430328285,0.4873024210354837,"[{'omega': 2.0138164, 'delta': -1.2143666}, {'omega': 1.8430879, 'delta': 1.0688922}, {'omega': 1.6879901, 'delta': -1.1322975}, {'omega': 2.0744183, 'delta': -1.1700047}, {'omega': 1.6351582, 'delta': -1.224972}, {'omega': 1.6861678, 'delta': 1.163887}, {'omega': 1.3591788, 'delta': -0.6962166}, {'omega': 1.8738087, 'delta': -1.4724665}, {'omega': -1.7073597, 'delta': -0.7839718}, {'omega': -1.5021758, 'delta': -0.49810138}]",10
4,0.19882273538601242,0.3530688302114969,0.18914192361444457,0.5687125534743313,"[{'omega': 1.2763736, 'delta': -0.7560223}, {'omega': 1.6403203, 'delta': -0.24019362}, {'omega': 1.6499968, 'delta': -1.6605829}, {'omega': 1.7902548, 'delta': 0.48525673}, {'omega': 0.9886933, 'delta': -0.37205374}, {'omega': 1.2456055, 'delta': 0.6735398}, {'omega': 2.1331356, 'delta': 0.21834037}, {'omega': 1.8883907, 'delta': -0.32889494}, {'omega': 0.61135, 'delta': -1.6610392}, {'omega': 1.2489626, 'delta': -1.7652478}]",10
5,0.13846363050623045,0.08044382874420475,0.03642173665827364,0.3869625524961365,"[{'omega': 1.4499757, 'delta': -0.35707775}, {'omega': 1.1292747, 'delta': 0.56255376}, {'omega': 1.3520966, 'delta': -0.55645686}, {'omega': 1.9720411, 'delta': -1.7448554}, {'omega': 2.1209474, 'delta': -1.0091074}, {'omega': 1.9176946, 'delta': -0.02908535}, {'omega': -0.52148616, 'delta': -1.2917634}, {'omega': -0.99236375, 'delta': -0.11873893}, {'omega': -0.10348148, 'delta': 0.05745906}, {'omega': 1.7007883, 'delta': -0.6659142}]",10
6,0.012273456460135264,0.009411339312520844,0.004106647713387403,0.33960755954168054,"[{'omega': 0.90360063, 'delta': -1.8791102}, {'omega': 1.5521028, 'delta': -1.6839767}, {'omega': 1.9774543, 'delta': -1.6652758}, {'omega': 0.4293394, 'delta': -1.3172717}, {'omega': 1.7935828, 'delta': -1.7330834}, {'omega': 1.4415846, 'delta': -1.0769656}, {'omega': 0.18529704, 'delta': -1.6970843}, {'omega': -0.69594115, 'delta': -1.4028536}, {'omega': 0.1973635, 'delta': -1.0957197}, {'omega': -0.4167546, 'delta': -1.2235339}]",10
7,0.041414394937910916,0.14517111193725876,0.06812080972480174,0.43011407462483914,"[{'omega': 1.9266312, 'delta': -1.6979572}, {'omega': 1.8953873, 'delta': -1.6394396}, {'omega': 1.2543432, 'delta': -0.95944047}, {'omega': -1.2128692, 'delta': -1.2808589}, {'omega': 0.44361243, 'delta': -1.8491327}, {'omega': 0.59141874, 'delta': -0.5986326}, {'omega': 0.21919607, 'delta': -1.1648536}, {'omega': 1.1923038, 'delta': -1.407835}, {'omega': -0.5768521, 'delta': -0.7671868}, {'omega': 1.229205, 'delta': -1.8010441}]",10
8,0.034280190526074394,0.0029385374267638844,0.001278069337632447,0.33529235828450926,"[{'omega': 0.2619855, 'delta': -1.9559767}, {'omega': 1.4811039, 'delta': -2.154306}, {'omega': 1.5947123, 'delta': -1.870342}, {'omega': 1.9907004, 'delta': -1.3744329}, {'omega': 0.55922616, 'delta': 0.34718034}, {'omega': 1.3733191, 'delta': -1.8318406}, {'omega': 1.1775366, 'delta': -1.8506585}, {'omega': -0.52708995, 'delta': -1.1996694}, {'omega': -1.268272, 'delta': -1.0919498}, {'omega': 0.85878325, 'delta': -1.3104355}]",10
9,0.012465664817876528,0.0003379386395756511,0.00014678969074100956,0.3335586257597171,"[{'omega': 1.2505106, 'delta': -1.979461}, {'omega': 1.5532024, 'delta': -1.7502956}, {'omega': 1.7856598, 'delta': -2.1447074}, {'omega': 1.8287824, 'delta': -1.7984109}, {'omega': 1.3550608, 'delta': -2.1841536}, {'omega': 1.3282975, 'delta': -1.9764588}, {'omega': 0.48234802, 'delta': -1.7189184}, {'omega': 1.1198465, 'delta': -1.7085303}, {'omega': 1.46539, 'delta': -2.017571}, {'omega': -0.55285877, 'delta': -1.9439142}]",10
10,0.05699152894099298,0.02163664525668191,0.009499822458700184,0.34775776350445464,"[{'omega': 1.6785609, 'delta': -1.915586}, {'omega': 0.63529634, 'delta': -1.9089822}, {'omega': 2.032878, 'delta': -1.992844}, {'omega': 1.2268357, 'delta': -1.9089397}, {'omega': -0.4631229, 'delta': -1.6524569}, {'omega': 1.4433111, 'delta': -1.7265837}, {'omega': 0.26900795, 'delta': -1.7622187}, {'omega': 0.31099802, 'delta': -1.9243994}, {'omega': -1.2769775, 'delta': -1.4909979}, {'omega': -1.7063926, 'delta': -1.5354207}]",10
11,0.32661399053958146,0.023020451596277264,0.010114527487342087,0.34868030106418485,"[{'omega': -0.57753724, 'delta': -1.9965404}, {'omega': -0.8349951, 'delta': -1.9360776}, {'omega': 1.1342598, 'delta': -1.8905562}, {'omega': 0.9460373, 'delta': -1.9857775}, {'omega': 1.6435329, 'delta': -1.9638388}, {'omega': 0.73188883, 'delta': -1.9126066}, {'omega': 0.37041095, 'delta': -1.9911617}, {'omega': 0.35770747, 'delta': -2.3243713}, {'omega': -0.20405164, 'delta': -1.96411}, {'omega': -1.1914519, 'delta': -1.9939039}]",10
12,0.4375929415918023,0.25151792435723247,0.12581859551150532,0.5010119495714883,"[{'omega': 1.1895226, 'delta': -1.8151267}, {'omega': -1.6524038, 'delta': -1.9466925}, {'omega': -0.8924587, 'delta': -2.0029113}, {'omega': 1.8702036, 'delta': -1.7153207}, {'omega': 1.7339414, 'delta': -1.9534825}, {'omega': 0.05952905, 'delta': -2.1231596}, {'omega': -1.8408294, 'delta': -1.6232766}, {'omega': -1.7603459, 'delta': -1.9517817}, {'omega': -1.7750014, 'delta': -1.678082}, {'omega': -1.6976334, 'delta': -1.8044649}]",10
13,2.259783457833382,0.26916071879175746,0.13617811819756043,0.5127738125278384,"[{'omega': -1.3680862, 'delta': -1.9362569}, {'omega': -1.4213547, 'delta': -1.9699957}, {'omega': -1.5441037, 'delta': -1.9258943}, {'omega': -0.9927599, 'delta': -2.241523}, {'omega': -1.4332132, 'delta': -1.9528627}, {'omega': -1.8832004, 'delta': -1.6882612}, {'omega': -0.90105903, 'delta': -1.8444449}, {'omega': -0.62555, 'delta': -1.6798636}, {'omega': -1.7901331, 'delta': -1.9243456}, {'omega': -1.4994172, 'delta': -1.7808845}]",10
14,2.4332054788419457,0.09220186697008248,0.04201071475866696,0.39480124464672167,"[{'omega': -1.9969603, 'delta': -1.9118389}, {'omega': -2.004274, 'delta': -1.9596012}, {'omega': -1.2521565, 'delta': -2.2511957}, {'omega': -1.6277832, 'delta': -2.0154345}, {'omega': -0.7947666, 'delta': -1.800491}, {'omega': -1.4844062, 'delta': -1.9322017}, {'omega': -1.8623935, 'delta': -1.9495989}, {'omega': -1.5841434, 'delta': -1.9727571}, {'omega': -1.8796374, 'delta': -1.8829441}, {'omega': -1.8622003, 'delta': -1.7255083}]",10
15,2.879089058391224,0.05599139886606856,0.025024048701944548,0.37066093257737903,"[{'omega': -1.8312628, 'delta': -2.1130922}, {'omega': -1.5957634, 'delta': -1.8769227}, {'omega': -2.0032918, 'delta': -2.0335417}, {'omega': -1.9768825, 'delta': -2.041995}, {'omega': -1.5780149, 'delta': -2.1383998}, {'omega': -1.479248, 'delta': -2.021761}, {'omega': -1.8742025, 'delta': -2.0229897}, {'omega': -1.3976979, 'delta': -1.9993352}, {'omega': -1.964286, 'delta': -1.5390991}, {'omega': -1.959743, 'delta': -1.4109229}]",10
16,2.2883298986877487,0.07046931848554085,0.03173627066613959,0.38031287899036054,"[{'omega': -2.0302827, 'delta': -1.9116027}, {'omega': -2.0891972, 'delta': -1.9372803}, {'omega': 0.06089092, 'delta': -2.0303717}, {'omega': -2.0331504, 'delta': -1.9454154}, {'omega': -2.0489213, 'delta': -2.0421252}, {'omega': -1.953547, 'delta': -2.1168573}, {'omega': -1.2590226, 'delta': -1.9386516}, {'omega': -2.042517, 'delta': -1.7657518}, {'omega': -2.0022402, 'delta': -1.6401708}, {'omega': -1.948099, 'delta': -1.7561934}]",10
17,2.948835630170777,0.0657937083616707,0.029557212177108414,0.3771958055744471,"[{'omega': -1.8296994, 'delta': -1.9832553}, {'omega': -1.906406, 'delta': -1.9844787}, {'omega': -1.8238823, 'delta': -1.8150905}, {'omega': -1.9203447, 'delta': -1.9371277}, {'omega': -1.846037, 'delta': -1.9209626}, {'omega': -1.5072682, 'delta': -1.7558043}, {'omega': -1.9676348, 'delta': -1.9412783}, {'omega': -1.2176762, 'delta': -1.9608456}, {'omega': -1.9063468, 'delta': -1.9489157}, {'omega': -1.9052922, 'delta': -1.598145}]",10
18,3.1211802505976296,0.014990849953584696,0.006559735191514874,0.3433272333023898,"[{'omega': -1.8865846, 'delta': -1.5452429}, {'omega': -2.0538564, 'delta': -2.0850198}, {'omega': -2.1102185, 'delta': -1.8946296}, {'omega': -2.0591018, 'delta': -2.1000767}, {'omega': -2.014852, 'delta': -1.8173846}, {'omega': -1.481854, 'delta': -1.9998035}, {'omega': -1.9185375, 'delta': -1.8765624}, {'omega': -1.9580407, 'delta': -1.986626}, {'omega': -2.0780616, 'delta': -1.924733}, {'omega': -2.0403926, 'delta': -1.6121657}]",10
19,3.177006230831933,0.007647523350769079,0.0033340420854314663,0.33843168223384607,"[{'omega': -2.0699565, 'delta': -2.0260425}, {'omega': -2.07598, 'delta': -1.84619}, {'omega': -1.9608032, 'delta': -2.0191104}, {'omega': -2.017735, 'delta': -1.9596714}, {'omega': -1.7861844, 'delta': -2.1252294}, {'omega': -1.8697448, 'delta': -1.9315193}, {'omega': -1.9727242, 'delta': -1.9670743}, {'omega': -2.0100825, 'delta': -1.9493858}, {'omega': -1.8995708, 'delta': -1.691167}, {'omega': -1.8031752, 'delta': -1.9009241}]",10
20,3.054139210066312,0.013099626177286872,0.0057266865227149615,0.3420664174515246,"[{'omega': -1.7619759, 'delta': -2.0321743}, {'omega': -1.9607214, 'delta': -1.8918259}, {'omega': -1.9164414, 'delta': -1.9998448}, {'omega': -2.0164642, 'delta': -1.9649436}, {'omega': -2.114953, 'delta': -1.9779749}, {'omega': -2.0317013, 'delta': -2.0800722}, {'omega': -1.5779877, 'delta': -1.9869386}, {'omega': -2.0086274, 'delta': -1.9597975}, {'omega': -2.075894, 'delta': -1.6896068}, {'omega': -1.7943503, 'delta': -1.6917052}]",10
21,3.094952714094499,0.0023737177376647366,0.001032117978641816,0.3349158118251098,"[{'omega': -2.0518196, 'delta': -2.1637485}, {'omega': -1.7441604, 'delta': -2.0678692}, {'omega': -1.8584611, 'delta': -1.9071302}, {'omega': -1.9814421, 'delta': -2.0326235}, {'omega': -1.9464784, 'delta': -2.0042648}, {'omega': -2.2495475, 'delta': -1.865697}, {'omega': -1.9946105, 'delta': -1.7222848}, {'omega': -1.8589854, 'delta': -1.9880883}, {'omega': -1.8458309, 'delta': -2.1287246}, {'omega': -2.0673141, 'delta': -1.90058}]",10
