episode,total_reward,fidelity,log_infidelity,avg_fidelity,control_pulse_params,time_step
0,4.397161569080431,0.11352992322494304,0.05233591963532011,0.4090199488166287,"{'omega': 1.1501286, 'delta': 1.3788106}",10
1,5.238205696954249,0.23647347861502255,0.11717587296105944,0.4909823190766817,"{'omega': -0.25981438, 'delta': 1.1039044}",10
2,3.3300048726433493,0.3946191296067805,0.21797130656069125,0.596412753071187,"{'omega': 0.37476635, 'delta': 1.7595251}",10
3,3.6849068499632103,0.003541645646591786,0.0015408473422741818,0.3356944304310612,"{'omega': 3.092021, 'delta': 2.0512202}",10
4,4.607890629164453,0.4145509055145027,0.23251086138611374,0.6097006036763352,"{'omega': 1.1595888, 'delta': 2.2078776}",10
5,1.6429188563275199,0.46409134836955995,0.27090923171356235,0.6427275655797066,"{'omega': -1.9547153, 'delta': 1.5362942}",10
6,2.7668673479578234,0.09373173870464466,0.042743229303816514,0.3958211591364298,"{'omega': 1.1934668, 'delta': 3.4874454}",10
7,2.513886358611186,0.004233046018072826,0.001842290534386029,0.33615536401204854,"{'omega': -3.9045496, 'delta': 1.3658515}",10
8,2.597887434531713,0.02551693688206281,0.011225704682164427,0.3503446245880419,"{'omega': -5.902692, 'delta': 1.9459627}",10
9,2.628746948674357,0.2414312103355455,0.1200050297525832,0.49428747355703034,"{'omega': -4.248064, 'delta': 2.3600209}",10
10,14.296114014765154,0.9993051959283267,3.1581376451758936,0.999536797285551,"{'omega': -0.52107817, 'delta': 1.0053506}",2
11,4.200014658724576,0.42865750214523096,0.24310347085039286,0.619105001430154,"{'omega': -3.8691251, 'delta': 2.6123896}",10
12,5.608388843372206,0.010251724128111667,0.004475246110213109,0.3401678160854078,"{'omega': -2.9314237, 'delta': 2.5096927}",10
13,3.637735780275056,0.5341716901896741,0.33177412159609,0.6894477934597827,"{'omega': -4.8140655, 'delta': 3.6287556}",10
14,4.576692584944927,0.4998250132393417,0.3008780306851697,0.6665500088262278,"{'omega': -1.6323428, 'delta': 2.3484035}",10
15,4.295613183811594,0.028211871902041386,0.012428410822549333,0.3521412479346943,"{'omega': -3.2902243, 'delta': 0.06509312}",10
16,4.213516842368939,0.6466624603331894,0.45181021933259613,0.7644416402221262,"{'omega': -1.1199739, 'delta': -0.25082684}",10
17,5.496444309701575,0.7495411478907693,0.6012636141870702,0.8330274319271794,"{'omega': 1.2585824, 'delta': 1.1899924}",10
18,3.3015523765119346,0.4398948918492057,0.25173046655356496,0.6265965945661371,"{'omega': 0.6607293, 'delta': 1.2376747}",10
19,1.8913314497031983,0.1964561084081415,0.09499039599393752,0.46430407227209436,"{'omega': 1.2589968, 'delta': -1.973953}",10
20,1.787374943539402,0.020240412966971464,0.008880478219677107,0.346826941977981,"{'omega': -2.1985302, 'delta': -2.7356682}",10
21,3.712751703435919,1.711839606193819e-05,7.434488582153962e-06,0.3333447455973746,"{'omega': 0.336748, 'delta': 2.9778507}",10
22,2.7199284073023486,0.02336189773153472,0.010266336285617822,0.34890793182102314,"{'omega': 2.027297, 'delta': 1.54842}",10
23,3.7632353661810973,0.04794194922453211,0.021336570141966108,0.3652946328163547,"{'omega': -0.5097085, 'delta': 1.4542078}",10
24,3.2865052332597893,0.07789120020356535,0.03521783343278294,0.38526080013571024,"{'omega': -0.8307091, 'delta': 1.9293276}",10
25,1.9129690670702681,0.012363652740179833,0.005402935423075051,0.3415757684934532,"{'omega': -1.698034, 'delta': 2.3258762}",10
26,3.153452261094498,0.35451787819450786,0.19011578207106536,0.5696785854630052,"{'omega': 0.6802213, 'delta': 0.94878554}",10
27,2.044827398596482,0.4792036611143794,0.28333207744939076,0.6528024407429196,"{'omega': -2.285925, 'delta': 2.7002416}",10
28,2.2761701464830595,0.005295329071218785,0.002305842695820221,0.33686355271414586,"{'omega': 0.8614771, 'delta': 4.980685}",10
29,5.315041741334061,0.024037849142765712,0.010567024538822028,0.3493585660951772,"{'omega': -1.9133649, 'delta': 2.8396597}",10
30,4.698085359852736,0.4093860386643453,0.22869629110041936,0.6062573591095636,"{'omega': -0.09042192, 'delta': 2.1064687}",10
31,1.5746172434861085,0.32304951167096246,0.16944309413880487,0.5486996744473083,"{'omega': -0.21876252, 'delta': -0.9345666}",10
32,1.319722262457458,8.34276627359027e-05,3.6233685031151274e-05,0.3333889517751573,"{'omega': -1.4167924, 'delta': -0.11855641}",10
33,2.399744985914338,0.2962100522012415,0.15255694046574184,0.5308067014674943,"{'omega': 2.044435, 'delta': -1.7908638}",10
34,4.267042160934176,0.4989055936887066,0.30008044523536764,0.6659370624591378,"{'omega': -1.4519538, 'delta': -0.016383022}",10
35,5.835791895760992,0.738395785607718,0.582355263892993,0.8255971904051455,"{'omega': 0.015675306, 'delta': 1.4405982}",10
36,5.713499372586807,0.7433219774554982,0.5906113151862047,0.8288813183036655,"{'omega': 2.753258, 'delta': 1.4989089}",10
37,3.8544376857863605,0.4047150336890315,0.2252750852470584,0.6031433557926876,"{'omega': -0.43868983, 'delta': -1.234519}",10
38,3.0407813214066857,0.002197044332484434,0.000955213938437482,0.33479802955498966,"{'omega': -3.9729145, 'delta': 1.1035521}",10
39,1.257589962961886,0.0202272694287606,0.008874652170199443,0.34681817961917377,"{'omega': -1.8650979, 'delta': -1.5451947}",10
40,2.18733809168175,0.1251104466835087,0.05804676916365285,0.4167402977890058,"{'omega': -2.827149, 'delta': 4.418858}",10
41,3.2002603506658276,0.604876838249621,0.40326751163581553,0.7365845588330807,"{'omega': -3.0617883, 'delta': -0.41969585}",10
42,1.6653944279787323,0.009276138311559629,0.004047376853194208,0.33951742554103975,"{'omega': -1.4312252, 'delta': 1.0882063}",10
43,2.0232955688658243,0.5562160416164659,0.35282840041727287,0.7041440277443106,"{'omega': -3.388871, 'delta': 5.6195707}",10
44,1.6742407138367634,0.057037772947430294,0.025505703775073708,0.37135851529828684,"{'omega': -2.2108243, 'delta': -0.48860407}",10
45,2.116443244085165,8.104673263105178e-05,3.519957518252083e-05,0.3333873644884207,"{'omega': -2.3565073, 'delta': 6.523696}",10
46,3.620472350868395,0.32116108215288114,0.1682332675303318,0.5474407214352541,"{'omega': -0.2336958, 'delta': 1.1063232}",10
