episode,total_reward,fidelity,log_infidelity,avg_fidelity,pulse_params,time_step
0,4.147737003614439,0.3940116307689913,0.21753571119223974,0.5960077538459942,"{'omega': 0.0, 'delta': 2.0}",10
1,3.2744403065135534,0.062078002792035146,0.027833278455456214,0.37471866852802344,"{'omega': -2.0, 'delta': -2.0}",10
2,2.3597934205073314,0.14342015062824198,0.06723214638771785,0.4289467670854947,"{'omega': -2.0, 'delta': 2.0}",10
3,2.776035274321111,0.2973055674525992,0.15323348736717943,0.5315370449683995,"{'omega': 0.0, 'delta': 2.0}",10
4,5.687565162225404,0.7105176143682764,0.538377856999334,0.8070117429121844,"{'omega': 2.0, 'delta': 0.0}",10
5,3.9240488475867337,0.5012905851520217,0.3021524329087084,0.6675270567680145,"{'omega': -2.0, 'delta': 0.0}",10
6,4.124020379572286,0.31520831820107825,0.1644415236970955,0.5434722121340522,"{'omega': -2.0, 'delta': 2.0}",10
7,2.404990234485195,0.6925384969760866,0.5122092541029633,0.7950256646507244,"{'omega': 2.0, 'delta': 0.0}",10
8,0.7490635227487726,0.0013806505484250174,0.0006000232211917482,0.3342537670322834,"{'omega': 2.0, 'delta': 2.0}",10
9,0.6964281608048,0.002824513881919011,0.0012284064363211424,0.335216342587946,"{'omega': -2.0, 'delta': -2.0}",10
10,1.504849735305134,0.14865166915252145,0.06989271111067032,0.43243444610168097,"{'omega': 2.0, 'delta': -2.0}",10
11,4.814653640587113,0.9598560282714891,1.3963796618822952,0.9732373521809926,"{'omega': 0.0, 'delta': -2.0}",10
12,1.0674237144741452,0.029268203041317636,0.012900744541398607,0.35284546869421174,"{'omega': 0.0, 'delta': 0.0}",10
13,2.2312348513239373,0.180596826045625,0.08650235814196704,0.45373121736375,"{'omega': 2.0, 'delta': -2.0}",10
14,1.4375051951653566,0.45740335079801153,0.26552289254563494,0.6382689005320077,"{'omega': 0.0, 'delta': 0.0}",10
15,3.326030205614161,0.468364760118085,0.27438623920595695,0.6455765067453899,"{'omega': 0.0, 'delta': -2.0}",10
16,18.385071587024044,0.999946697539036,4.273252739220673,0.9999644650260239,"{'omega': 0.0, 'delta': 2.0}",2
17,4.721145311182109,0.28954829831405143,0.14846544117669724,0.5263655322093675,"{'omega': 2.0, 'delta': 2.0}",10
18,2.8445666325304315,0.6210395224162112,0.4214060809614555,0.7473596816108076,"{'omega': -2.0, 'delta': -2.0}",10
19,3.3858989079778135,0.2877294195802232,0.14735499335754007,0.5251529463868154,"{'omega': 0.0, 'delta': 0.0}",10
20,3.9831716083422197,0.27814469931807656,0.14154985009442597,0.5187631328787177,"{'omega': 2.0, 'delta': 2.0}",10
21,4.419771185758416,0.4413268402599194,0.25284219289037974,0.6275512268399462,"{'omega': 0.0, 'delta': -2.0}",10
22,6.04577680496427,0.0691741989575745,0.03113158725138495,0.3794494659717163,"{'omega': 2.0, 'delta': 2.0}",10
