episode,total_reward,fidelity,log_infidelity,avg_fidelity,pulse_params,time_step
0,-0.3686317550037714,0.07375409534759318,0.033273699218599906,0.38250273023172876,"[{'omega': 0.602407, 'delta': -1.9156313}, {'omega': 0.23748405, 'delta': -1.4673876}, {'omega': 1.8110303, 'delta': -1.6534078}, {'omega': 1.7390462, 'delta': -1.5512285}, {'omega': 1.5642561, 'delta': -1.9532168}, {'omega': 1.767429, 'delta': -1.3474896}, {'omega': 1.9715102, 'delta': -0.98880416}, {'omega': 1.7060213, 'delta': -1.3368022}, {'omega': 1.235427, 'delta': -1.429848}, {'omega': 1.5543791, 'delta': -1.3468899}, {'omega': -0.09218605, 'delta': -1.2655421}, {'omega': 1.1914816, 'delta': -1.5985545}, {'omega': 1.1934764, 'delta': -1.7000155}, {'omega': 0.010965166, 'delta': -1.9709501}, {'omega': -0.36600733, 'delta': -1.0229847}, {'omega': -1.4146138, 'delta': -1.770837}, {'omega': -0.27815095, 'delta': -0.5092624}, {'omega': -1.8572658, 'delta': -0.63956255}, {'omega': -1.7306267, 'delta': -1.2519642}]",19
1,2.307225819281756,0.002577393143200926,0.0011207926026207335,0.33505159542880064,"[{'omega': -0.18549012, 'delta': 0.49719462}, {'omega': -1.3174106, 'delta': -1.225229}, {'omega': -1.6056812, 'delta': -0.123707056}, {'omega': -1.3974135, 'delta': -0.60206705}, {'omega': -1.585675, 'delta': -0.9126903}, {'omega': -0.5671823, 'delta': -0.47591215}, {'omega': -1.5908356, 'delta': -1.7583692}, {'omega': -0.8887611, 'delta': -1.71094}, {'omega': -1.4020438, 'delta': -1.9336661}, {'omega': -0.1831935, 'delta': -0.7782571}]",10
2,1.628044224653827,0.07574733341318378,0.034209287758080686,0.3838315556087892,"[{'omega': -1.6520934, 'delta': -0.6828391}, {'omega': -1.215202, 'delta': -1.8275452}, {'omega': 0.34757653, 'delta': -1.6942084}, {'omega': -1.5879527, 'delta': 1.2979016}, {'omega': -1.8775101, 'delta': -0.13140218}, {'omega': -1.8946496, 'delta': 1.6164799}, {'omega': -1.7683058, 'delta': -0.49308667}, {'omega': -1.8047175, 'delta': 1.2691219}, {'omega': -1.6803284, 'delta': 1.5144576}, {'omega': -1.9840926, 'delta': 0.2597039}]",10
3,2.1246531434158324,0.023000723469373763,0.010105757876798252,0.3486671489795825,"[{'omega': -2.1058822, 'delta': 1.1207297}, {'omega': -1.9972442, 'delta': -0.7830445}, {'omega': -1.9529619, 'delta': 1.4660456}, {'omega': -1.6458156, 'delta': 0.8930205}, {'omega': -1.908046, 'delta': 1.7616719}, {'omega': -1.8930185, 'delta': 1.6022187}, {'omega': -2.0364044, 'delta': 1.9521697}, {'omega': -1.8574976, 'delta': 0.9443315}, {'omega': -1.9039329, 'delta': 0.2553943}, {'omega': -1.6993669, 'delta': 1.6312758}]",10
4,2.491596604962381,0.2109841850081906,0.1029142917274122,0.47398945667212705,"[{'omega': -1.8758279, 'delta': 1.7876186}, {'omega': -1.9818754, 'delta': 1.982649}, {'omega': -1.7692701, 'delta': 2.0035858}, {'omega': -2.0183945, 'delta': 1.9015375}, {'omega': -1.8552892, 'delta': 2.2032192}, {'omega': -2.1198885, 'delta': 1.6010445}, {'omega': -1.4590315, 'delta': 2.0909455}, {'omega': -1.7133311, 'delta': 1.8400369}, {'omega': -1.8970091, 'delta': 1.186358}, {'omega': -1.6144888, 'delta': 1.8311567}]",10
5,2.7642308389767125,0.1787249228108793,0.08551135628320518,0.4524832818739195,"[{'omega': -1.6351098, 'delta': 1.8633922}, {'omega': -1.8443239, 'delta': 1.6589113}, {'omega': -1.461487, 'delta': 1.9932061}, {'omega': -1.9785036, 'delta': 1.9502348}, {'omega': -1.6170927, 'delta': 1.8862801}, {'omega': -1.9069716, 'delta': 1.7180381}, {'omega': -1.6191518, 'delta': 1.6980808}, {'omega': -1.8363204, 'delta': 2.0552197}, {'omega': -1.5436435, 'delta': 2.0650275}, {'omega': -1.6822835, 'delta': 1.9487091}]",10
6,2.7962031028094763,0.09210218661463405,0.041963029871277806,0.39473479107642273,"[{'omega': -1.8713864, 'delta': 2.0429316}, {'omega': -1.4790369, 'delta': 2.1691787}, {'omega': -1.7349024, 'delta': 1.8687186}, {'omega': -1.4294474, 'delta': 2.0066795}, {'omega': -1.6392034, 'delta': 1.935996}, {'omega': -1.2506636, 'delta': 1.5596827}, {'omega': -0.48553294, 'delta': 2.2313533}, {'omega': -1.6437907, 'delta': 2.1268406}, {'omega': -1.5892195, 'delta': 1.8339043}, {'omega': -1.0609019, 'delta': 2.0787551}]",10
7,3.86774109890119,0.01421421968546229,0.006217450713117153,0.34280947979030824,"[{'omega': -1.2743435, 'delta': 2.1878254}, {'omega': -0.4636712, 'delta': 1.756593}, {'omega': -1.5361315, 'delta': 2.0608006}, {'omega': -0.5532689, 'delta': 1.9067507}, {'omega': -1.5954405, 'delta': 2.079999}, {'omega': -1.533678, 'delta': 1.9011314}, {'omega': -0.7211043, 'delta': 1.8708507}, {'omega': -1.7275004, 'delta': 1.9357848}, {'omega': -0.07858481, 'delta': 2.170805}, {'omega': -1.0896086, 'delta': 1.8734618}]",10
8,3.2732305360855114,0.017085640879699715,0.007484320399555325,0.34472376058646653,"[{'omega': -0.9609113, 'delta': 2.0047157}, {'omega': -1.6764015, 'delta': 1.92849}, {'omega': -1.665401, 'delta': 2.1109686}, {'omega': -1.1317775, 'delta': 1.9798558}, {'omega': -1.5445627, 'delta': 2.0500658}, {'omega': -0.2209555, 'delta': 1.8555259}, {'omega': -1.399797, 'delta': 2.0196218}, {'omega': -0.013814922, 'delta': 2.0260668}, {'omega': -1.4917649, 'delta': 1.9687002}, {'omega': -0.60130495, 'delta': 1.9981289}]",10
9,4.194625605265718,0.015690079576300295,0.0068681378105149155,0.3437933863842002,"[{'omega': 0.51729864, 'delta': 2.0719492}, {'omega': 1.3366486, 'delta': 1.8619214}, {'omega': 0.42022756, 'delta': 2.212375}, {'omega': 0.80884254, 'delta': 1.888874}, {'omega': 0.7473994, 'delta': 1.9447298}, {'omega': -0.8754414, 'delta': 1.9601648}, {'omega': -0.066979595, 'delta': 1.9806465}, {'omega': -0.2713939, 'delta': 2.2869613}, {'omega': -0.91565096, 'delta': 2.1115465}, {'omega': 0.7884189, 'delta': 1.9287995}]",10
